date, pm25, pm10, o3, no2,region
2020/12/1, 45, 14, 14, 10,alpes-cote-dazur
2020/12/2, 39, 16, 14, 12,alpes-cote-dazur
2020/12/3, 46, 11, 23, 11,alpes-cote-dazur
2020/12/4, 39, 10, 15, 9,alpes-cote-dazur
2020/12/5, 35, 7, 19, 4,alpes-cote-dazur
2020/12/6, 26, 8, 20, 7,alpes-cote-dazur
2020/12/7, 23, 17, 18, 13,alpes-cote-dazur
2020/12/8, 44, 14, 13, 11,alpes-cote-dazur
2020/12/9, 38, 21, 9, 14,alpes-cote-dazur
2020/12/10, 59, 19, 11, 15,alpes-cote-dazur
2020/12/11, 58, 13, 11, 10,alpes-cote-dazur
2020/12/12, 41, 12, 14, 7,alpes-cote-dazur
2020/12/13, 37, 9, 17, 11,alpes-cote-dazur
2020/12/14, 30, 10, 19, 12,alpes-cote-dazur
2020/12/15, 31, 10, 20, 10,alpes-cote-dazur
2020/12/16, 30, 15, 18, 14,alpes-cote-dazur
2020/12/17, 44, 19, 13, 15,alpes-cote-dazur
2020/12/18, 55, 7, 20, 8,alpes-cote-dazur
2020/12/19, 24, 7, 16, 7,alpes-cote-dazur
2020/12/20, 25, 9, 17, 8,alpes-cote-dazur
2020/12/21, 28, 12, 16, 8,alpes-cote-dazur
2020/12/22, 39, 16, 17, 8,alpes-cote-dazur
2020/12/23, 51, 6, 23, 2,alpes-cote-dazur
2020/12/24, 20, 3, 19, 1,alpes-cote-dazur
2020/12/25, 8, , , ,alpes-cote-dazur
2020/11/1, 54, 21, 26, 8,alpes-cote-dazur
2020/11/2, 64, 29, 15, 9,alpes-cote-dazur
2020/11/3, 76, 15, 22, 7,alpes-cote-dazur
2020/11/4, 47, 15, 17, 10,alpes-cote-dazur
2020/11/5, 42, 15, 22, 9,alpes-cote-dazur
2020/11/6, 47, 13, 23, 6,alpes-cote-dazur
2020/11/7, 41, 15, 17, 5,alpes-cote-dazur
2020/11/8, 52, 16, 21, 9,alpes-cote-dazur
2020/11/9, 50, 21, 20, 9,alpes-cote-dazur
2020/11/10, 58, 23, 20, 7,alpes-cote-dazur
2020/11/11, 64, 17, 26, 7,alpes-cote-dazur
2020/11/12, 50, 15, 21, 8,alpes-cote-dazur
2020/11/13, 45, 21, 24, 6,alpes-cote-dazur
2020/11/14, 63, 14, 25, 4,alpes-cote-dazur
2020/11/15, 48, 20, 17, 9,alpes-cote-dazur
2020/11/16, 56, 13, 22, 9,alpes-cote-dazur
2020/11/17, 34, 13, 19, 11,alpes-cote-dazur
2020/11/18, 36, 20, 24, 11,alpes-cote-dazur
