date, pm25, pm10, o3, no2,region
2020/12/1, 55, 12, 8, 7,auvergne-rhone-alpes
2020/12/2, 45, 15, 24, 11,auvergne-rhone-alpes
2020/12/3, 53, 4, 27, 4,auvergne-rhone-alpes
2020/12/4, 11, 14, 7, 3,auvergne-rhone-alpes
2020/12/5, 55, 20, 1, 2,auvergne-rhone-alpes
2020/12/6, 71, 13, 22, 5,auvergne-rhone-alpes
2020/12/7, 50, 11, 11, 8,auvergne-rhone-alpes
2020/12/8, 37, 6, 4, 4,auvergne-rhone-alpes
2020/12/9, 25, 17, , 14,auvergne-rhone-alpes
2020/12/10, 55, 14, , 12,auvergne-rhone-alpes
2020/12/11, 46, 13, , 14,auvergne-rhone-alpes
2020/12/12, 53, 13, , 10,auvergne-rhone-alpes
2020/12/13, 49, 15, 4, 14,auvergne-rhone-alpes
2020/12/14, 47, 14, 1, 13,auvergne-rhone-alpes
2020/12/15, 49, 14, 4, 12,auvergne-rhone-alpes
2020/12/16, 47, 18, 1, 16,auvergne-rhone-alpes
2020/12/17, 52, 21, 1, 15,auvergne-rhone-alpes
2020/12/18, 64, 17, 3, 12,auvergne-rhone-alpes
2020/12/19, 57, 21, , 15,auvergne-rhone-alpes
2020/12/20, 68, 20, , 14,auvergne-rhone-alpes
2020/12/21, 68, 15, 1, 14,auvergne-rhone-alpes
2020/12/22, 53, 15, 7, 12,auvergne-rhone-alpes
2020/12/23, 52, 9, 11, 13,auvergne-rhone-alpes
2020/12/24, 33, 1, 20, 1,auvergne-rhone-alpes
2020/12/25, 4, , , ,auvergne-rhone-alpes
2020/11/1, 45, 19, 18, 7,auvergne-rhone-alpes
2020/11/2, 52, 16, 21, 8,auvergne-rhone-alpes
2020/11/3, 44, 11, 9, 9,auvergne-rhone-alpes
2020/11/4, 33, 14, 5, 7,auvergne-rhone-alpes
2020/11/5, 46, 13, 6, 5,auvergne-rhone-alpes
2020/11/6, 40, 20, 4, 7,auvergne-rhone-alpes
2020/11/7, 60, 16, 18, 6,auvergne-rhone-alpes
2020/11/8, 44, 14, 7, 9,auvergne-rhone-alpes
2020/11/9, 36, 19, 12, 9,auvergne-rhone-alpes
2020/11/10, 52, 22, 9, 8,auvergne-rhone-alpes
2020/11/11, 64, 23, 6, 11,auvergne-rhone-alpes
2020/11/12, 62, 18, 5, 13,auvergne-rhone-alpes
2020/11/13, 52, 16, 10, 12,auvergne-rhone-alpes
2020/11/14, 48, 12, 27, 5,auvergne-rhone-alpes
2020/11/15, 33, 6, 23, 4,auvergne-rhone-alpes
2020/11/16, 15, 11, 7, 9,auvergne-rhone-alpes
2020/11/17, 33, 14, 4, 11,auvergne-rhone-alpes
2020/11/18, 43, 14, 24, 9,auvergne-rhone-alpes
2020/11/19, 42, 5, 21, 3,auvergne-rhone-alpes
2020/11/20, 16, 12, 14, 6,auvergne-rhone-alpes
2020/11/21, 43, 20, 6, 9,auvergne-rhone-alpes
2020/11/22, 66, 24, 6, 13,auvergne-rhone-alpes
2020/11/23, 72, 27, 4, 14,auvergne-rhone-alpes
2020/11/24, 77, 29, 4, 15,auvergne-rhone-alpes
2020/11/25, 79, 29, 6, 15,auvergne-rhone-alpes
2020/11/26, 81, 27, 7, 15,auvergne-rhone-alpes
2020/11/27, 73, 25, 6, 13,auvergne-rhone-alpes
2020/11/28, 76, 24, 4, 9,auvergne-rhone-alpes
2020/11/29, 76, 17, 5, 6,auvergne-rhone-alpes
2020/11/30, 61, 16, 14, 8,auvergne-rhone-alpes
2020/10/1, 45, 10, 7, 11,auvergne-rhone-alpes
2020/10/2, 29, 2, 29, 6,auvergne-rhone-alpes
2020/10/3, 3, 2, 27, 1,auvergne-rhone-alpes
2020/10/4, 5, 5, 25, ,auvergne-rhone-alpes
2020/10/5, 12, 8, 3, 8,auvergne-rhone-alpes
2020/10/6, 21, 8, 19, 6,auvergne-rhone-alpes
2020/10/7, 18, 10, 16, 9,auvergne-rhone-alpes
