date, pm25, pm10, o3, no2,region
2020/12/1, 41, 26, , 17,bretagne
2020/12/2, 46, 7, , 10,bretagne
2020/12/3, 19, 11, , 12,bretagne
2020/12/4, 26, 9, , 8,bretagne
2020/12/5, 32, 7, , 8,bretagne
2020/12/6, 24, , , 11,bretagne
2020/12/8, 60, 16, , 16,bretagne
2020/12/9, 41, 10, , 14,bretagne
2020/12/10, 25, 12, , 10,bretagne
2020/12/11, 24, 13, , 7,bretagne
2020/12/12, 27, 7, , 4,bretagne
2020/12/13, 24, 13, , 8,bretagne
2020/12/14, 26, 17, , 13,bretagne
2020/12/15, 25, 10, , 8,bretagne
2020/12/16, 21, 15, , 12,bretagne
2020/12/17, 22, 12, , 5,bretagne
2020/12/18, 27, 18, , 7,bretagne
2020/12/19, 32, 14, , 9,bretagne
2020/12/20, 25, 6, , 4,bretagne
2020/12/21, 20, 5, , 7,bretagne
2020/12/22, 20, 11, , 3,bretagne
2020/12/23, 21, 10, , 6,bretagne
2020/12/24, 21, 11, , 5,bretagne
2020/12/25, 23, , , ,bretagne
2020/11/1, 12, 14, , 4,bretagne
2020/11/2, 30, 16, , 7,bretagne
2020/11/3, 34, 19, , 10,bretagne
2020/11/4, 45, 17, , 6,bretagne
2020/11/5, 43, 16, , 5,bretagne
2020/11/6, 54, 22, , 3,bretagne
2020/11/7, 60, 13, , 2,bretagne
2020/11/8, 44, 14, , 7,bretagne
2020/11/9, 37, 12, , 13,bretagne
2020/11/10, 28, , , 2,bretagne
2020/11/12, 50, 10, , 8,bretagne
2020/11/13, 21, 13, , 3,bretagne
2020/11/14, 32, 14, , 1,bretagne
2020/11/15, 28, 20, , 5,bretagne
2020/11/16, 33, 19, , 9,bretagne
2020/11/17, 33, 14, , 7,bretagne
2020/11/18, 27, 22, , 9,bretagne
2020/11/19, 39, 29, , 17,bretagne
2020/11/20, 46, 19, , 8,bretagne
2020/11/21, 46, 26, , ,bretagne
2020/11/22, 74, 25, , ,bretagne
2020/11/23, 55, 16, , 8,bretagne
2020/11/24, 51, 30, , 11,bretagne
2020/11/25, 78, 29, , 15,bretagne
2020/11/26, 74, 27, , 11,bretagne
2020/11/27, 74, 17, , 6,bretagne
2020/11/28, 58, 18, , 9,bretagne
2020/11/29, 62, 34, , 13,bretagne
2020/11/30, 89, 20, , 14,bretagne
2020/10/1, 14, 9, , 6,bretagne
2020/10/2, 13, 7, , 7,bretagne
2020/10/3, 17, 7, , 3,bretagne
2020/10/4, 14, 12, , 5,bretagne
2020/10/5, 17, 13, , 6,bretagne
2020/10/6, 20, 19, , 7,bretagne
2020/10/7, 26, 17, , 7,bretagne
2020/10/8, 27, 12, , 10,bretagne
2020/10/9, 22, 13, , 7,bretagne
2020/10/10, 22, 10, , 7,bretagne
2020/10/11, 22, 15, , 11,bretagne
2020/10/12, 34, 11, , 10,bretagne
2020/10/13, 25, 14, , 10,bretagne
2020/10/14, 34, 15, , 9,bretagne
2020/10/15, 34, 15, , 9,bretagne
2020/10/16, 33, 17, , 8,bretagne
2020/10/17, 46, 20, , 8,bretagne
2020/10/18, 60, 14, , 4,bretagne
2020/10/19, 43, 21, , 5,bretagne
2020/10/20, 47, 10, , 5,bretagne
2020/10/21, 27, 22, , 16,bretagne
2020/10/22, 38, 21, , 12,bretagne
2020/10/23, 40, 9, , 3,bretagne
2020/10/24, 20, 9, , 3,bretagne
