date, pm25, pm10, o3, no2,region
2020/12/1, 38, 17, 8, 15,hauts-de-france
2020/12/2, 58, 10, 18, 7,hauts-de-france
2020/12/3, 45, 6, 20, 6,hauts-de-france
2020/12/4, 20, 8, 18, 10,hauts-de-france
2020/12/5, 39, 12, 10, 8,hauts-de-france
2020/12/6, 56, 21, 11, 15,hauts-de-france
2020/12/7, 81, 27, 5, ,hauts-de-france
2020/12/8, 91, 19, 8, ,hauts-de-france
2020/12/9, 73, 17, 13, ,hauts-de-france
2020/12/10, 60, 12, 10, 13,hauts-de-france
2020/12/11, 53, 13, 13, ,hauts-de-france
2020/12/12, 51, 9, 19, ,hauts-de-france
2020/12/13, 42, 8, 16, ,hauts-de-france
2020/12/14, 35, 13, 9, ,hauts-de-france
2020/12/15, 51, 12, 13, 12,hauts-de-france
2020/12/16, 49, 11, 13, ,hauts-de-france
2020/12/17, 44, 12, 16, 6,hauts-de-france
2020/12/18, 47, , , ,hauts-de-france
2020/11/1, 8, 13, , 2,hauts-de-france
2020/11/2, 10, 10, 21, 4,hauts-de-france
2020/11/3, 9, 18, 16, 15,hauts-de-france
2020/11/4, 34, 40, 9, 24,hauts-de-france
2020/11/5, 84, 28, 9, 19,hauts-de-france
2020/11/6, 58, 29, 9, 14,hauts-de-france
2020/11/7, 71, 19, 13, 8,hauts-de-france
2020/11/8, 47, 17, 10, 14,hauts-de-france
2020/11/9, 40, 22, 3, 14,hauts-de-france
2020/11/10, 54, 14, 15, 6,hauts-de-france
2020/11/11, 33, 14, 17, 6,hauts-de-france
2020/11/12, 12, 12, 14, 8,hauts-de-france
2020/11/13, 18, 13, 17, 4,hauts-de-france
2020/11/14, 34, 9, 29, 1,hauts-de-france
2020/11/15, 12, 8, 22, 5,hauts-de-france
2020/11/16, 5, 11, 18, 5,hauts-de-france
2020/11/17, 7, 12, 24, 6,hauts-de-france
2020/11/18, 12, 12, 24, 10,hauts-de-france
2020/11/19, 10, 14, 14, 12,hauts-de-france
2020/11/20, 21, 12, 21, 4,hauts-de-france
2020/11/21, 23, 13, 19, 6,hauts-de-france
2020/11/22, 55, 17, 7, 14,hauts-de-france
2020/11/23, 28, 20, 13, 7,hauts-de-france
2020/11/24, 2, 28, 7, 11,hauts-de-france
2020/11/26, 117, 44, 4, 16,hauts-de-france
2020/11/27, 136, 34, 3, 16,hauts-de-france
2020/11/28, 146, 37, 5, 13,hauts-de-france
2020/11/29, 124, 34, 17, 11,hauts-de-france
2020/11/30, 109, 12, 21, 7,hauts-de-france
2020/10/1, 6, 7, 18, 10,hauts-de-france
2020/10/2, 15, 7, 17, 12,hauts-de-france
2020/10/3, 11, 6, 19, 7,hauts-de-france
2020/10/4, 11, 5, 21, 1,hauts-de-france
2020/10/5, 6, 6, 19, 4,hauts-de-france
2020/10/6, 4, 9, 21, 6,hauts-de-france
2020/10/7, 11, 6, 14, 4,hauts-de-france
2020/10/8, 7, 9, 19, 10,hauts-de-france
2020/10/9, 18, 7, 22, 5,hauts-de-france
2020/10/10, 7, 6, 19, 4,hauts-de-france
2020/10/11, 6, 9, 16, 9,hauts-de-france
2020/10/12, 12, 7, 19, 10,hauts-de-france
2020/10/13, 18, 15, 14, 11,hauts-de-france
2020/10/14, 35, 11, 17, 12,hauts-de-france
2020/10/15, 17, 15, 16, 15,hauts-de-france
2020/10/16, 36, 26, 11, 17,hauts-de-france
2020/10/17, 68, 15, 20, 8,hauts-de-france
2020/10/18, 42, 19, 21, 11,hauts-de-france
2020/10/19, 48, 12, 15, 6,hauts-de-france
2020/10/20, 23, 11, 25, 3,hauts-de-france
2020/10/21, 16, , , ,hauts-de-france
2020/10/23, 14, 5, 22, 3,hauts-de-france
2020/10/24, 5, 4, 24, 2,hauts-de-france
2020/10/25, 4, 6, 18, 4,hauts-de-france
2020/10/26, 5, 7, 13, 5,hauts-de-france
2020/10/27, 7, 11, , 5,hauts-de-france
2020/10/28, 7, 10, 25, 6,hauts-de-france
2020/10/29, 8, , 19, 3,hauts-de-france
2020/10/30, 5, , , 2,hauts-de-france
2020/10/31, 13, , , 1,hauts-de-france
2020/9/30, 54, 7, 18, 10,hauts-de-france
2019/10/1, 6, 9, 22, 9,hauts-de-france
2019/10/2, 10, 13, 18, 14,hauts-de-france
2019/10/3, 17, 12, 19, 11,hauts-de-france
2019/10/4, 21, 14, 15, 14,hauts-de-france
2019/10/5, 45, 10, 23, 5,hauts-de-france
2019/10/6, 26, 17, 14, 14,hauts-de-france
2019/10/7, 34, 11, 18, 9,hauts-de-france
2019/10/8, 14, 8, 19, 7,hauts-de-france
2019/10/9, 6, 10, 19, 8,hauts-de-france
2019/10/10, 14, 9, 19, 7,hauts-de-france
2019/10/11, 12, 9, 20, 6,hauts-de-france
2019/10/12, 15, 12, 24, 5,hauts-de-france
2019/10/13, 28, 13, 22, 15,hauts-de-france
2019/10/14, 18, 7, 19, 9,hauts-de-france
2019/10/16, 7, 7, 21, 11,hauts-de-france
2019/10/17, 5, 7, 23, 6,hauts-de-france
2019/10/18, 6, 7, 21, 8,hauts-de-france
2019/10/19, 8, 17, 14, 15,hauts-de-france
2019/10/20, 30, 10, 15, 12,hauts-de-france
2019/10/21, 17, 15, 16, 19,hauts-de-france
2019/10/22, 37, 26, 7, 18,hauts-de-france
2019/10/23, 67, 18, 21, 9,hauts-de-france
2019/10/24, 37, 9, 16, 8,hauts-de-france
2019/10/25, 14, 7, 19, 5,hauts-de-france
2019/10/26, 10, 10, 24, 13,hauts-de-france
2019/10/27, 24, 27, 14, 23,hauts-de-france
2019/10/28, 61, 16, 21, 17,hauts-de-france
2019/10/29, 39, 25, 11, 19,hauts-de-france
2019/10/30, 66, 32, 6, 19,hauts-de-france
2019/10/31, 81, 16, 9, 12,hauts-de-france
2019/11/1, 49, , , ,hauts-de-france
2019/11/3, 19, 8, 19, 9,hauts-de-france
2019/11/4, 7, 11, 16, 13,hauts-de-france
2019/11/8, 45, 15, 15, 15,hauts-de-france
2019/11/9, 39, 18, 12, 16,hauts-de-france
2019/11/10, 61, 12, 16, 9,hauts-de-france
2019/11/11, 32, 6, 24, 9,hauts-de-france
2019/11/12, 10, 10, 14, 13,hauts-de-france
2019/11/13, 17, 10, 20, 15,hauts-de-france
2019/11/14, 20, 25, 8, 18,hauts-de-france
2019/11/15, 66, 10, 15, 15,hauts-de-france
2019/11/16, 27, 19, 14, 16,hauts-de-france
2019/11/17, 49, 21, 15, 18,hauts-de-france
2019/11/18, 49, 20, 17, 20,hauts-de-france
2019/11/19, 35, 19, 11, 22,hauts-de-france
2019/11/20, 53, 23, 6, 20,hauts-de-france
2019/11/21, 72, 12, 18, 17,hauts-de-france
2019/11/22, 28, 12, 19, 17,hauts-de-france
2019/11/23, 37, 18, 8, 14,hauts-de-france
2019/11/24, 54, 15, 11, 13,hauts-de-france
2019/11/25, 33, , 13, 11,hauts-de-france
2019/11/26, 11, 5, 20, 6,hauts-de-france
2019/11/27, 5, 8, 22, 9,hauts-de-france
2019/11/28, 10, 14, 1, 20,hauts-de-france
2019/11/29, 17, 28, 1, 25,hauts-de-france
2019/11/30, 68, 22, 1, 16,hauts-de-france
2019/12/1, 55, 22, 1, 24,hauts-de-france
2019/12/2, 53, 35, 1, 30,hauts-de-france
2019/12/3, 77, 38, , 30,hauts-de-france
2019/12/4, 86, 36, 3, 18,hauts-de-france
2019/12/5, 88, 14, 13, 9,hauts-de-france
2019/12/6, 38, 12, 19, 10,hauts-de-france
2019/12/7, 12, 11, 27, 4,hauts-de-france
2019/12/8, 14, 10, 27, 7,hauts-de-france
2019/12/9, 8, 15, 15, 13,hauts-de-france
2019/12/10, 21, 12, 13, 14,hauts-de-france
2019/12/11, 34, 6, 2, 10,hauts-de-france
2019/7/1, 15, 14, 31, 9,hauts-de-france
2019/7/2, 23, 15, 31, 9,hauts-de-france
2019/7/3, 21, 15, 35, 13,hauts-de-france
2019/7/4, 25, 23, 43, 16,hauts-de-france
2019/7/5, 42, 17, 40, 11,hauts-de-france
2019/7/6, 38, 10, 28, 6,hauts-de-france
2019/7/7, 14, 11, 30, 8,hauts-de-france
2019/7/8, 43, 11, 24, 15,hauts-de-france
2019/7/10, 48, 17, 40, 9,hauts-de-france
2019/7/11, 32, 13, 29, 9,hauts-de-france
2019/7/12, 28, 8, 28, 6,hauts-de-france
2019/7/13, 19, 7, 24, 3,hauts-de-france
2019/7/14, 10, 8, 25, 9,hauts-de-france
2019/7/15, 12, 10, 32, 11,hauts-de-france
2019/7/16, 21, 24, 37, 20,hauts-de-france
2019/7/17, 48, 15, 24, 4,hauts-de-france
2019/7/18, 23, 13, 28, 7,hauts-de-france
2019/7/19, 17, 15, 25, 7,hauts-de-france
2019/7/20, 24, 9, 26, ,hauts-de-france
2019/7/23, 39, 26, 49, 18,hauts-de-france
2019/7/24, 51, 42, 66, 30,hauts-de-france
2019/7/25, 69, 18, 48, 9,hauts-de-france
2019/7/26, 32, 12, 12, 11,hauts-de-france
2019/7/27, 38, 10, 24, 3,hauts-de-france
2019/7/28, 12, 12, 35, 12,hauts-de-france
2019/7/29, 19, 14, 27, 4,hauts-de-france
2019/7/30, 13, 9, 21, 3,hauts-de-france
2019/7/31, 9, 10, 30, 8,hauts-de-france
2019/8/1, 18, 16, 33, 9,hauts-de-france
2019/8/2, 35, 13, 28, 10,hauts-de-france
2019/8/3, 25, 15, 36, 13,hauts-de-france
2019/8/4, 35, 11, 26, 4,hauts-de-france
2019/8/5, 16, 11, 24, 4,hauts-de-france
2019/8/6, 13, 10, 24, 3,hauts-de-france
2019/8/7, 10, 8, 22, 5,hauts-de-france
2019/8/8, 8, 8, 23, 4,hauts-de-france
2019/8/9, 11, 14, 27, 1,hauts-de-france
2019/8/10, 14, 12, 24, 2,hauts-de-france
2019/8/11, 13, 7, 26, 5,hauts-de-france
2019/8/12, 9, 10, 27, 5,hauts-de-france
2019/8/13, 10, 8, 22, 7,hauts-de-france
2019/8/14, 14, 9, 25, 1,hauts-de-france
2019/8/15, 3, 12, 22, 6,hauts-de-france
2019/8/16, 13, 8, 17, 2,hauts-de-france
2019/8/17, 8, 7, 27, 3,hauts-de-france
2019/8/18, 7, 11, 27, 3,hauts-de-france
2019/8/19, 8, 11, 32, 5,hauts-de-france
2019/8/20, 12, 16, 40, 15,hauts-de-france
2019/8/21, 27, 20, 35, 11,hauts-de-france
2019/8/22, 39, 20, 55, 18,hauts-de-france
2019/8/23, 44, 29, 61, 23,hauts-de-france
2019/8/24, 65, 22, 50, 20,hauts-de-france
2019/8/25, 57, 32, 72, 23,hauts-de-france
2019/8/26, 70, 41, 55, 20,hauts-de-france
