date, pm25, pm10, o3, no2,region
2020/12/1, 33, 17, 23, 10,normandie
2020/12/2, 43, 8, 20, 4,normandie
2020/12/3, 28, 6, 25, 3,normandie
2020/12/4, 23, 10, 18, 5,normandie
2020/12/5, 36, 14, 4, 8,normandie
2020/12/6, 52, 9, 10, 9,normandie
2020/12/7, 47, , 11, 11,normandie
2020/12/9, 37, 9, 16, 5,normandie
2020/12/10, 30, 9, 20, 8,normandie
2020/12/11, 28, 9, 20, 5,normandie
2020/12/12, 25, 7, 21, 1,normandie
2020/12/13, 24, 9, 26, 2,normandie
2020/12/14, 24, 10, 21, 5,normandie
2020/12/15, 25, 9, 20, 3,normandie
2020/12/16, 26, 10, 17, 5,normandie
2020/12/17, 27, 9, 23, 2,normandie
2020/12/18, 25, 13, 24, 2,normandie
2020/12/19, 33, 13, 23, 3,normandie
2020/12/20, 33, 5, 23, 1,normandie
2020/12/21, 18, 4, 22, 4,normandie
2020/12/22, 16, 5, 28, 1,normandie
2020/12/23, 19, 9, 27, 1,normandie
2020/12/24, 20, 12, 27, 1,normandie
2020/11/1, 19, 8, 27, 2,normandie
2020/11/2, 24, 10, 25, 3,normandie
2020/11/3, 28, 8, 21, 7,normandie
2020/11/4, 30, 17, 20, 10,normandie
2020/11/5, 50, 16, 14, 8,normandie
2020/11/6, 56, 20, 10, 7,normandie
2020/11/7, 63, 15, 7, 7,normandie
2020/11/8, 57, 11, 12, 6,normandie
2020/11/9, 45, 11, 14, 10,normandie
2020/11/10, 36, 9, 19, 4,normandie
2020/11/11, 40, 12, 24, 5,normandie
2020/11/12, 34, 8, 18, 6,normandie
2020/11/13, 30, 11, 26, 1,normandie
2020/11/14, 40, 11, 28, ,normandie
2020/11/15, 34, 12, 27, 4,normandie
2020/11/16, 31, 13, 24, 4,normandie
2020/11/17, 37, 11, 25, 4,normandie
2020/11/18, 39, 13, 25, 4,normandie
2020/11/19, 30, 13, 18, 8,normandie
2020/11/20, 37, 13, 22, 2,normandie
2020/11/21, 41, 14, 18, 2,normandie
2020/11/22, 51, 11, 15, 5,normandie
2020/11/23, 44, 13, 16, 7,normandie
2020/11/24, 46, 20, 15, 9,normandie
2020/11/25, 67, 32, 6, 14,normandie
2020/11/26, 90, 35, 4, 14,normandie
2020/11/27, 100, 23, 10, 10,normandie
2020/11/28, 77, 23, 10, 12,normandie
2020/11/29, 78, 21, 11, 8,normandie
2020/11/30, 75, 12, 24, 4,normandie
2020/10/1, 16, 4, 28, 3,normandie
2020/10/2, 15, 13, 27, 5,normandie
2020/10/3, 42, , 24, 1,normandie
2020/10/5, 27, 10, 23, 2,normandie
2020/10/6, 29, 10, 21, 4,normandie
2020/10/7, 28, 8, 21, 1,normandie
2020/10/8, 26, 6, 22, 4,normandie
2020/10/9, 24, 8, 25, 3,normandie
2020/10/10, 24, 5, 22, 2,normandie
2020/10/11, 23, 8, 24, 6,normandie
2020/10/12, 28, 7, 20, 7,normandie
2020/10/13, 22, 10, 23, 6,normandie
2020/10/14, 36, 10, 23, 6,normandie
2020/10/15, 26, 10, 18, 11,normandie
2020/10/16, 39, 13, 19, 8,normandie
2020/10/17, 52, 19, 18, 10,normandie
2020/10/18, 69, 15, 25, 8,normandie
2020/10/19, 54, 15, 21, 3,normandie
2020/10/20, 43, 6, 24, 1,normandie
2020/10/21, 23, 10, 22, 4,normandie
2020/10/22, 26, 11, 21, 7,normandie
2020/10/23, 40, 5, 25, 1,normandie
2020/10/24, 19, 7, 25, 1,normandie
2020/10/25, 25, 7, 20, 3,normandie
2020/10/26, 25, 7, 20, 2,normandie
2020/10/27, 23, 11, 22, 1,normandie
2020/10/28, 32, 8, 22, 3,normandie
2020/10/29, 25, 6, 25, 1,normandie
2020/10/30, 26, 12, 22, 2,normandie
2020/10/31, 35, 6, 22, ,normandie
2020/9/1, 30, 12, 36, 7,normandie
2020/9/2, 32, 9, 27, 5,normandie
2020/9/3, 26, 6, 23, 3,normandie
2020/9/4, 20, 8, 21, 2,normandie
2020/9/5, 25, 10, 26, 2,normandie
2020/9/6, 29, 9, 24, 6,normandie
2020/9/7, 24, 9, 23, 3,normandie
2020/9/8, 24, 11, 26, 4,normandie
2020/9/9, 18, 9, 25, 4,normandie
2020/9/10, 23, 13, 31, 7,normandie
2020/9/11, 38, 8, 26, 3,normandie
2020/9/12, 26, 10, 38, 5,normandie
2020/9/13, 26, 14, 40, 9,normandie
2020/9/14, 33, 18, 44, 7,normandie
2020/9/15, 36, 19, 40, 5,normandie
2020/9/16, 49, 21, 31, 4,normandie
2020/9/17, 46, 22, 31, 7,normandie
2020/9/18, 41, 20, 32, 6,normandie
2020/9/19, 52, 20, 35, 6,normandie
2020/9/20, 50, 25, 49, 9,normandie
2020/9/21, 60, 21, 29, 7,normandie
2020/9/22, 61, 8, 27, 3,normandie
2020/9/23, 18, 6, 23, 2,normandie
2020/9/24, 12, 8, 26, 2,normandie
2020/9/25, 19, 8, 26, 1,normandie
2020/9/26, 20, 11, 25, 1,normandie
2020/9/27, 29, 9, 23, 4,normandie
2020/9/28, 24, 8, 22, 5,normandie
2020/9/29, 29, 6, 25, 3,normandie
2020/9/30, 18, 6, 28, 4,normandie
2020/8/1, 19, 7, 24, 1,normandie
2020/8/2, 14, 7, 25, 2,normandie
2020/8/3, 14, 8, 30, 3,normandie
2020/8/4, 13, 9, 33, 3,normandie
2020/8/5, 17, 12, 40, 5,normandie
2020/8/6, 23, 19, 65, 6,normandie
2020/8/7, 26, 21, 75, 5,normandie
2020/8/8, 39, 22, 72, 4,normandie
2020/8/9, 57, 25, 65, 4,normandie
2020/8/10, 65, 22, 56, 4,normandie
2020/8/11, 62, 16, 46, 4,normandie
2020/8/12, 41, 11, 29, 4,normandie
2020/8/13, 34, 5, 24, 3,normandie
2020/8/14, 32, 8, 30, 1,normandie
2020/8/15, 33, 7, 28, 3,normandie
2020/8/16, 35, 5, 29, 4,normandie
2020/8/17, 23, 4, 22, 2,normandie
2020/8/18, 20, 2, 18, 2,normandie
2020/8/19, 16, 4, 25, 2,normandie
2020/8/20, 16, 11, 23, 1,normandie
2020/8/21, 26, 9, 27, 1,normandie
2020/8/22, 26, 9, 25, 1,normandie
2020/8/23, 19, 6, 21, 2,normandie
2020/8/24, 15, 6, 23, 1,normandie
2020/8/25, 15, 12, 23, 2,normandie
2020/8/26, 24, 9, 23, 4,normandie
2020/8/27, 21, 7, 22, 2,normandie
2020/8/28, 17, 7, 26, 1,normandie
2020/8/29, 20, 9, 30, 1,normandie
2020/8/30, 24, 9, 30, 5,normandie
2020/8/31, 25, 11, 36, 8,normandie
2020/7/1, 17, 8, 22, 2,normandie
2020/7/2, 23, 10, 23, 2,normandie
2020/7/3, 23, 5, 20, 1,normandie
2020/7/4, 16, 6, 25, ,normandie
2020/7/5, 15, 16, 25, 1,normandie
2020/7/6, 29, 13, 28, 2,normandie
2020/7/7, 23, 11, 19, 1,normandie
2020/7/8, 22, 7, 17, 1,normandie
2020/7/9, 16, 7, 30, 1,normandie
2020/7/10, 20, 9, 24, 2,normandie
2020/7/11, 20, 8, 32, 2,normandie
2020/7/12, 21, 9, 38, 3,normandie
2020/7/13, 19, 6, 27, 1,normandie
2020/7/14, 25, 9, 22, 2,normandie
2020/7/15, 27, 8, 25, 2,normandie
2020/7/16, 24, 9, 25, 3,normandie
2020/7/17, 22, 11, 21, 1,normandie
2020/7/18, 25, 7, 21, 2,normandie
2020/7/19, 21, 9, 31, 2,normandie
2020/7/20, 23, 12, 35, 3,normandie
2020/7/21, 24, 11, 33, 4,normandie
2020/7/22, 21, 15, 37, 5,normandie
2020/7/23, 26, 7, 25, 2,normandie
2020/7/24, 19, 5, 17, 1,normandie
2020/7/25, 20, 7, 19, 1,normandie
2020/7/26, 14, 9, 21, 1,normandie
2020/7/27, 19, 10, 23, 2,normandie
2020/7/28, 22, 11, 30, 3,normandie
2020/7/29, 21, 16, 46, 5,normandie
2020/7/30, 28, 25, 47, 8,normandie
2020/7/31, 46, 7, 22, 1,normandie
2020/6/1, 37, 23, 44, 5,normandie
2020/6/2, 50, 19, 44, 6,normandie
2020/6/3, 49, 11, 34, 2,normandie
2020/6/4, 29, 7, 24, 2,normandie
2020/6/5, 19, 9, 27, 1,normandie
2020/6/6, 22, 7, 30, 1,normandie
2020/6/7, 25, 9, 30, 4,normandie
2020/6/8, 28, 13, 31, 7,normandie
2020/6/9, 33, 11, 23, 5,normandie
2020/6/10, 29, 10, 33, 3,normandie
2020/6/11, 28, 9, 30, 5,normandie
2020/6/12, 32, 6, 29, 1,normandie
2020/6/13, 16, 6, 29, 1,normandie
2020/6/14, 23, 7, 26, 3,normandie
2020/6/15, 24, 7, 27, 2,normandie
2020/6/16, 21, 7, 30, 3,normandie
2020/6/17, 20, 9, 25, 3,normandie
2020/6/18, 30, 7, 23, 3,normandie
2020/6/19, 24, 12, 25, 1,normandie
2020/6/20, 18, 8, 24, 1,normandie
2020/6/21, 24, 17, 30, 2,normandie
2020/6/22, 33, 16, 39, 4,normandie
2020/6/23, 36, 19, 59, 6,normandie
2020/6/24, 47, 19, 61, 7,normandie
2020/6/25, 52, 17, 33, 4,normandie
2020/6/26, 47, 8, 24, 1,normandie
2020/6/27, 22, 9, 27, 1,normandie
2020/6/28, 18, 12, 25, 2,normandie
2020/6/29, 20, 7, 19, 1,normandie
2020/6/30, 17, 4, 20, 2,normandie
2020/5/1, 19, 8, 36, 1,normandie
2020/5/2, 18, 5, 27, 2,normandie
2020/5/3, 18, 10, 31, 2,normandie
2020/5/4, 29, 16, 27, 4,normandie
2020/5/5, 56, 20, 38, 6,normandie
2020/5/6, 55, 18, 51, 6,normandie
2020/5/7, 45, 18, 55, 5,normandie
2020/5/8, 51, 32, 40, 6,normandie
2020/5/9, 80, 25, 36, 4,normandie
2020/5/10, 65, 26, 31, 1,normandie
2020/5/11, 36, 13, 37, 4,normandie
2020/5/12, 24, 13, 35, 5,normandie
