date, pm25, pm10, o3, no2,region
2020/12/1, 27, , 25, 3,normandie
2020/12/2, 32, , 22, 1,normandie
2020/12/3, 23, , 26, 1,normandie
2020/12/4, 10, , 23, 1,normandie
2020/12/5, 18, , 17, 2,normandie
2020/12/6, 31, , 13, 6,normandie
2020/12/7, 50, , 10, 8,normandie
2020/12/8, 57, , 16, 5,normandie
2020/12/9, 36, , 16, 3,normandie
2020/12/10, 28, , 24, 2,normandie
2020/12/11, 22, , 25, 2,normandie
2020/12/12, 21, , 23, 1,normandie
2020/12/13, 19, , 23, 1,normandie
2020/12/14, 16, , 24, 3,normandie
2020/12/15, 20, , 21, 3,normandie
2020/12/16, 20, , 22, 2,normandie
2020/12/17, 22, , 23, 2,normandie
2020/12/18, 22, , 26, 1,normandie
2020/12/19, 25, , 25, 1,normandie
2020/12/20, 25, , 23, 1,normandie
2020/12/21, 15, , 23, 1,normandie
2020/12/22, 13, , 30, 1,normandie
2020/12/23, 12, , 28, 1,normandie
2020/12/24, 17, , 29, 1,normandie
2020/12/25, 22, , , ,normandie
2020/11/1, 18, , 32, 1,normandie
2020/11/2, 22, , 29, 1,normandie
2020/11/3, 23, , 25, 4,normandie
2020/11/4, 30, , 24, 4,normandie
2020/11/5, 43, , 14, 6,normandie
2020/11/6, 51, , 7, 8,normandie
2020/11/7, 65, , 8, 4,normandie
2020/11/8, 60, , 7, 6,normandie
2020/11/9, 33, , 13, 5,normandie
2020/11/10, 36, , 18, 3,normandie
2020/11/11, 32, , 26, 3,normandie
2020/11/12, 27, , 21, 3,normandie
2020/11/13, 28, , 24, 2,normandie
2020/11/14, 36, , 30, 1,normandie
2020/11/15, 27, , 28, 1,normandie
2020/11/16, 27, , 26, 1,normandie
2020/11/17, 28, , 26, 2,normandie
2020/11/18, 29, , 29, 1,normandie
2020/11/19, 24, , 20, 5,normandie
2020/11/20, 36, , 27, 1,normandie
2020/11/21, 27, , 23, 1,normandie
2020/11/22, 35, , 16, 4,normandie
2020/11/23, 34, , 16, 5,normandie
2020/11/24, 44, , 11, 7,normandie
2020/11/25, 66, , 2, 10,normandie
2020/11/26, 71, , 8, 9,normandie
2020/11/27, 81, , 14, 9,normandie
2020/11/28, 72, , 11, 5,normandie
2020/11/29, 67, , 11, 5,normandie
2020/11/30, 73, , 26, 2,normandie
2020/10/1, 10, , 25, 2,normandie
2020/10/2, 67, , 25, 2,normandie
2020/10/3, 10, , 50, 1,normandie
2020/10/4, 15, , 26, 1,normandie
2020/10/5, 10, , 32, 1,normandie
2020/10/6, 14, , 18, 1,normandie
2020/10/7, 9, , 28, 1,normandie
2020/10/8, 5, , 26, 2,normandie
2020/10/9, 10, , 28, 1,normandie
2020/10/10, 15, , 23, 2,normandie
2020/10/11, 18, , 17, 3,normandie
2020/10/12, 29, , 22, 2,normandie
2020/10/13, 18, , 23, 4,normandie
2020/10/14, 31, , 24, 2,normandie
2020/10/15, 18, , 25, 3,normandie
2020/10/16, 29, , 15, 4,normandie
2020/10/17, 45, , 22, 4,normandie
