date, pm25, pm10, o3, no2,region
2020/12/1, 83, 19, 17, 10,nouvelle-aquitaine
2020/12/2, 52, 8, 24, 8,nouvelle-aquitaine
2020/12/3, 24, 6, 26, 9,nouvelle-aquitaine
2020/12/4, 20, 6, 23, 6,nouvelle-aquitaine
2020/12/5, 24, 9, 22, 4,nouvelle-aquitaine
2020/12/6, 24, 9, 28, 8,nouvelle-aquitaine
2020/12/7, 39, 12, 23, 8,nouvelle-aquitaine
2020/12/8, 37, 13, 13, 13,nouvelle-aquitaine
2020/12/9, 33, 11, 19, 10,nouvelle-aquitaine
2020/12/10, 29, 11, 27, 3,nouvelle-aquitaine
2020/12/11, 31, 12, 27, 5,nouvelle-aquitaine
2020/12/12, 34, 13, 17, 6,nouvelle-aquitaine
2020/12/13, 44, 10, 15, 8,nouvelle-aquitaine
2020/12/14, 34, 10, 19, 13,nouvelle-aquitaine
2020/12/15, 33, 8, 18, 7,nouvelle-aquitaine
2020/12/16, 31, 13, 15, 13,nouvelle-aquitaine
2020/12/17, 45, 10, 11, 7,nouvelle-aquitaine
2020/12/18, 41, 11, 14, 8,nouvelle-aquitaine
2020/12/19, 43, 12, 24, 8,nouvelle-aquitaine
2020/12/20, 44, 9, 15, 6,nouvelle-aquitaine
2020/12/21, 30, 10, 9, 8,nouvelle-aquitaine
2020/12/22, 29, 12, 26, 6,nouvelle-aquitaine
2020/12/23, 39, 9, 26, 2,nouvelle-aquitaine
2020/12/24, 23, 9, 20, 1,nouvelle-aquitaine
2020/12/25, 20, , , ,nouvelle-aquitaine
2020/11/1, 55, 17, 26, 5,nouvelle-aquitaine
2020/11/2, 41, 15, 25, 5,nouvelle-aquitaine
2020/11/3, 36, 23, 23, 10,nouvelle-aquitaine
2020/11/4, 60, 17, 15, 10,nouvelle-aquitaine
2020/11/5, 39, 18, 22, 5,nouvelle-aquitaine
2020/11/6, 51, 15, 22, 4,nouvelle-aquitaine
2020/11/7, 51, 8, 21, 2,nouvelle-aquitaine
2020/11/8, 25, 16, 14, 9,nouvelle-aquitaine
2020/11/9, 45, 23, 17, 12,nouvelle-aquitaine
2020/11/10, 58, 17, 18, 7,nouvelle-aquitaine
2020/11/11, 53, 15, 15, 8,nouvelle-aquitaine
2020/11/12, 50, 20, 16, 10,nouvelle-aquitaine
2020/11/13, 64, 14, 19, 5,nouvelle-aquitaine
2020/11/14, 52, 11, 24, 2,nouvelle-aquitaine
2020/11/15, 36, 22, 19, 13,nouvelle-aquitaine
2020/11/16, 60, 25, 18, 11,nouvelle-aquitaine
2020/11/17, 62, 20, 16, 9,nouvelle-aquitaine
2020/11/18, 48, 20, 26, 7,nouvelle-aquitaine
2020/11/19, 49, 26, 22, 11,nouvelle-aquitaine
2020/11/20, 56, 26, 17, 10,nouvelle-aquitaine
2020/11/21, 75, 46, 18, 12,nouvelle-aquitaine
2020/11/22, 169, 58, 9, 18,nouvelle-aquitaine
2020/11/23, 127, 53, 12, 12,nouvelle-aquitaine
2020/11/24, 122, 29, 21, 12,nouvelle-aquitaine
2020/11/25, 81, 16, 22, 9,nouvelle-aquitaine
2020/11/26, 61, 12, 23, 7,nouvelle-aquitaine
2020/11/27, 47, 11, 21, 7,nouvelle-aquitaine
2020/11/28, 50, 20, 17, 8,nouvelle-aquitaine
2020/11/29, 87, 22, 12, 7,nouvelle-aquitaine
2020/11/30, 82, 26, 15, 11,nouvelle-aquitaine
2020/10/1, 18, 6, 27, 2,nouvelle-aquitaine
2020/10/2, 13, 9, 27, ,nouvelle-aquitaine
2020/10/3, 24, 8, 24, ,nouvelle-aquitaine
2020/10/4, 18, 10, 23, 4,nouvelle-aquitaine
2020/10/5, 22, 7, 22, 1,nouvelle-aquitaine
2020/10/6, 16, 14, 24, 4,nouvelle-aquitaine
2020/10/7, 32, 14, 20, 5,nouvelle-aquitaine
2020/10/8, 28, 16, 23, 7,nouvelle-aquitaine
2020/10/9, 34, 6, 23, 2,nouvelle-aquitaine
2020/10/10, 16, 10, 24, 2,nouvelle-aquitaine
2020/10/11, 16, 17, 22, 6,nouvelle-aquitaine
2020/10/12, 19, 12, 23, 4,nouvelle-aquitaine
2020/10/13, 15, 11, 18, 6,nouvelle-aquitaine
2020/10/14, 17, 16, 16, 6,nouvelle-aquitaine
2020/10/15, 52, 19, 23, 8,nouvelle-aquitaine
2020/10/16, 55, 19, 19, 8,nouvelle-aquitaine
2020/10/17, 44, 21, 20, 8,nouvelle-aquitaine
2020/10/18, 49, 22, 26, 7,nouvelle-aquitaine
2020/10/19, 45, 11, 26, 4,nouvelle-aquitaine
2020/10/20, 31, 16, 27, 7,nouvelle-aquitaine
2020/10/21, 26, 21, 17, 9,nouvelle-aquitaine
2020/10/22, 45, 9, 24, 6,nouvelle-aquitaine
2020/10/23, 18, 10, 22, 4,nouvelle-aquitaine
2020/10/24, 21, 9, 22, 2,nouvelle-aquitaine
2020/10/25, 19, 10, 21, 6,nouvelle-aquitaine
2020/10/26, 21, 8, 20, 5,nouvelle-aquitaine
2020/10/27, 18, 13, 26, 4,nouvelle-aquitaine
2020/10/28, 31, 20, 22, 10,nouvelle-aquitaine
2020/10/29, 49, 20, 20, 10,nouvelle-aquitaine
2020/10/30, 61, 16, 20, 8,nouvelle-aquitaine
2020/10/31, 59, 17, 14, 5,nouvelle-aquitaine
2020/9/1, 15, 13, 37, 6,nouvelle-aquitaine
2020/9/2, 18, 18, 46, 6,nouvelle-aquitaine
2020/9/3, 24, 22, 53, 10,nouvelle-aquitaine
2020/9/4, 32, 15, 31, 4,nouvelle-aquitaine
2020/9/5, 38, 10, 28, 1,nouvelle-aquitaine
2020/9/6, 19, 14, 31, 3,nouvelle-aquitaine
2020/9/7, 16, 17, 38, 5,nouvelle-aquitaine
2020/9/8, 23, 18, 43, 7,nouvelle-aquitaine
2020/9/9, 29, 20, 31, 3,nouvelle-aquitaine
2020/9/10, 21, 16, 25, 2,nouvelle-aquitaine
2020/9/11, 18, 12, 23, 2,nouvelle-aquitaine
2020/9/12, 21, 13, 37, 3,nouvelle-aquitaine
2020/9/13, 21, 19, 45, 3,nouvelle-aquitaine
2020/9/14, 32, 28, 37, 4,nouvelle-aquitaine
2020/9/15, 55, 26, 44, 6,nouvelle-aquitaine
2020/9/16, 48, 26, 46, 8,nouvelle-aquitaine
2020/9/17, 48, 28, 33, 7,nouvelle-aquitaine
2020/9/18, 55, 12, 27, 2,nouvelle-aquitaine
2020/9/19, 30, 6, 28, ,nouvelle-aquitaine
2020/9/20, 16, 10, 23, 4,nouvelle-aquitaine
2020/9/21, 25, 10, 31, 4,nouvelle-aquitaine
2020/9/22, 33, 10, 29, 4,nouvelle-aquitaine
2020/9/23, 26, 9, 27, 1,nouvelle-aquitaine
2020/9/24, 12, 7, 26, 2,nouvelle-aquitaine
2020/9/25, 18, 5, 21, 2,nouvelle-aquitaine
2020/9/26, 18, 9, 25, 1,nouvelle-aquitaine
2020/9/27, 19, 12, 25, 2,nouvelle-aquitaine
2020/9/28, 20, 9, 27, 5,nouvelle-aquitaine
2020/9/29, 24, 12, 28, 6,nouvelle-aquitaine
2020/9/30, 32, 10, 26, 2,nouvelle-aquitaine
2020/8/1, 16, 10, 23, 1,nouvelle-aquitaine
2020/8/2, 15, 16, 20, 2,nouvelle-aquitaine
2020/8/3, 12, 14, 34, 2,nouvelle-aquitaine
2020/8/4, 17, 23, 43, 4,nouvelle-aquitaine
2020/8/5, 23, 23, 48, 7,nouvelle-aquitaine
2020/8/6, 23, 27, 54, 9,nouvelle-aquitaine
2020/8/7, 40, 21, 28, 1,nouvelle-aquitaine
2020/8/8, 37, 20, 33, 2,nouvelle-aquitaine
2020/8/9, 45, 33, 26, 2,nouvelle-aquitaine
2020/8/10, 51, 27, 27, 3,nouvelle-aquitaine
2020/8/11, 50, 16, 24, 6,nouvelle-aquitaine
2020/8/12, 37, 10, 17, 3,nouvelle-aquitaine
2020/8/13, 18, 10, 28, 2,nouvelle-aquitaine
2020/8/14, 21, 9, 34, 3,nouvelle-aquitaine
2020/8/15, 21, 9, 23, 1,nouvelle-aquitaine
2020/8/16, 20, 10, 21, 2,nouvelle-aquitaine
2020/8/17, 20, 8, 21, 3,nouvelle-aquitaine
2020/8/18, 13, 12, 28, 6,nouvelle-aquitaine
2020/8/19, 18, 15, 33, 5,nouvelle-aquitaine
2020/8/20, 23, 11, 21, 3,nouvelle-aquitaine
2020/8/21, 21, 14, 25, 2,nouvelle-aquitaine
2020/8/22, 27, 9, 26, 2,nouvelle-aquitaine
2020/8/23, 19, 9, 32, 3,nouvelle-aquitaine
2020/8/24, 16, 13, 29, 4,nouvelle-aquitaine
2020/8/25, 17, 10, 28, 2,nouvelle-aquitaine
2020/8/26, 19, 13, 24, 4,nouvelle-aquitaine
2020/8/27, 20, 10, 24, 1,nouvelle-aquitaine
2020/8/28, 16, 6, 25, 2,nouvelle-aquitaine
2020/8/29, 12, 7, 30, 1,nouvelle-aquitaine
2020/8/30, 14, 8, 31, 4,nouvelle-aquitaine
2020/8/31, 16, 12, 37, 5,nouvelle-aquitaine
2020/7/1, 16, 15, 23, 2,nouvelle-aquitaine
2020/7/2, 15, 14, 22, 3,nouvelle-aquitaine
2020/7/3, 16, 9, 24, 3,nouvelle-aquitaine
2020/7/4, 17, 9, 18, 1,nouvelle-aquitaine
2020/7/5, 18, 13, 27, 1,nouvelle-aquitaine
2020/7/6, 20, 22, 33, 4,nouvelle-aquitaine
2020/7/7, 28, 19, 39, 5,nouvelle-aquitaine
2020/7/8, 27, 30, 34, 5,nouvelle-aquitaine
2020/7/9, 32, 21, 13, 1,nouvelle-aquitaine
2020/7/10, 11, 11, 37, 2,nouvelle-aquitaine
2020/7/11, 16, 12, 40, 2,nouvelle-aquitaine
2020/7/12, 14, 21, 46, 3,nouvelle-aquitaine
2020/7/13, 22, 13, 37, 1,nouvelle-aquitaine
2020/7/14, 19, 20, 23, 1,nouvelle-aquitaine
2020/7/15, 25, 15, 19, 1,nouvelle-aquitaine
2020/7/16, 17, 13, 28, 2,nouvelle-aquitaine
2020/7/17, 27, 15, 34, 2,nouvelle-aquitaine
2020/7/18, 32, 15, 39, 2,nouvelle-aquitaine
2020/7/19, 40, 31, 42, 4,nouvelle-aquitaine
2020/7/20, 40, 26, 31, 2,nouvelle-aquitaine
2020/7/21, 38, 28, 35, 3,nouvelle-aquitaine
