date, pm25, pm10, o3, no2,region
2020/12/1, 72, 5, 19, 9,occitanie
2020/12/2, 12, 8, 29, 13,occitanie
2020/12/3, 18, 10, 20, 13,occitanie
2020/12/4, 10, 12, 18, 13,occitanie
2020/12/5, 44, 13, 20, 10,occitanie
2020/12/6, 48, 12, 12, 19,occitanie
2020/12/7, 26, 15, 20, 9,occitanie
2020/12/8, 56, 7, 21, 5,occitanie
2020/12/9, 24, 6, 13, 11,occitanie
2020/12/10, 18, 21, 5, 11,occitanie
2020/12/11, 66, 17, 28, 7,occitanie
2020/12/12, 66, 8, 25, 14,occitanie
2020/12/13, 23, 25, 26, 14,occitanie
2020/12/14, 66, 32, 25, 11,occitanie
2020/12/15, 37, 20, 22, 13,occitanie
2020/12/16, 34, 24, 16, 15,occitanie
2020/12/17, 44, 18, 25, 11,occitanie
2020/12/18, 44, 31, 27, 11,occitanie
2020/12/19, 37, 26, 27, 8,occitanie
2020/12/20, 36, 19, 12, 9,occitanie
2020/12/21, 54, 19, 7, 9,occitanie
2020/12/22, 59, 17, 9, 8,occitanie
2020/12/23, 42, 10, 23, 11,occitanie
2020/12/24, 24, 8, 20, 6,occitanie
2020/12/25, 12, , , ,occitanie
2020/11/1, 67, 27, 15, 7,occitanie
2020/11/2, 77, 18, 23, 6,occitanie
2020/11/3, 55, 9, 26, 7,occitanie
2020/11/4, 11, 11, 19, 6,occitanie
2020/11/5, 20, 17, 18, 13,occitanie
2020/11/6, 40, 30, 25, 6,occitanie
2020/11/7, 60, 26, 23, 5,occitanie
2020/11/8, 34, 25, 21, 13,occitanie
2020/11/9, 39, 22, 9, 12,occitanie
2020/11/10, 54, 16, 21, 8,occitanie
2020/11/11, 46, 25, 22, 12,occitanie
2020/11/12, 60, 26, 22, 14,occitanie
2020/11/13, 65, 20, 27, 7,occitanie
2020/11/14, 42, 29, 22, 4,occitanie
2020/11/15, 46, 15, 24, 4,occitanie
2020/11/16, 26, 13, 23, 14,occitanie
2020/11/17, 27, 21, 24, 17,occitanie
2020/11/18, 50, 23, 26, 8,occitanie
2020/11/19, 65, 6, 25, 4,occitanie
2020/11/20, 12, 9, 24, 12,occitanie
2020/11/21, 32, 16, 22, 11,occitanie
2020/11/22, 56, 30, 15, 17,occitanie
2020/11/23, 80, 28, 22, 14,occitanie
2020/11/24, 88, 24, 30, 12,occitanie
2020/11/25, 53, 17, 25, 15,occitanie
2020/11/26, 42, 17, 20, 11,occitanie
2020/11/27, 45, 12, 20, 6,occitanie
2020/11/28, 37, 15, 14, 13,occitanie
2020/11/29, 56, 17, 13, 11,occitanie
2020/11/30, 61, 24, 19, 17,occitanie
2020/10/1, 41, 15, 28, 8,occitanie
2020/10/2, 12, 6, 27, 7,occitanie
2020/10/3, 24, 7, 25, 6,occitanie
2020/10/4, 9, 8, 23, 7,occitanie
2020/10/5, 24, 12, 19, 13,occitanie
2020/10/6, 13, 9, 24, 3,occitanie
2020/10/7, 12, 12, 23, 14,occitanie
2020/10/8, 25, 18, 18, 15,occitanie
2020/10/9, 37, 15, 18, 7,occitanie
2020/10/10, 47, 5, 26, 1,occitanie
2020/10/11, 10, 7, 26, 8,occitanie
2020/10/12, 10, 11, 26, 11,occitanie
2020/10/13, 14, 9, 22, 8,occitanie
2020/10/14, 10, 4, 23, 3,occitanie
2020/10/15, 12, 5, 16, 2,occitanie
2020/10/16, 7, 6, 23, 11,occitanie
2020/10/17, 22, 11, 24, 8,occitanie
2020/10/18, 34, 22, 32, 16,occitanie
2020/10/19, 49, 22, 32, 12,occitanie
2020/10/20, 40, 28, 35, 8,occitanie
2020/10/21, 36, 62, 34, 15,occitanie
2020/10/22, 62, 44, 29, 13,occitanie
2020/10/23, 57, 8, 26, 13,occitanie
2020/10/24, 18, 13, 22, 6,occitanie
2020/10/25, 18, 8, 24, 4,occitanie
2020/10/26, 20, 7, 25, 9,occitanie
2020/10/27, 14, 11, 22, 9,occitanie
2020/10/28, 26, 10, 23, 8,occitanie
2020/10/29, 16, 15, 21, 15,occitanie
2020/10/30, 32, 23, 24, 9,occitanie
