date, pm25, pm10, o3, no2,region
2020/12/1, 60, 15, 19, 6,occitanie
2020/12/2, 39, 12, 26, 11,occitanie
2020/12/3, 26, 6, 24, 9,occitanie
2020/12/4, 13, 8, 24, 7,occitanie
2020/12/5, 27, 1, 25, 1,occitanie
2020/12/6, 8, 7, 28, 11,occitanie
2020/12/7, 25, 9, 22, 8,occitanie
2020/12/8, 28, 8, 19, 8,occitanie
2020/12/9, 32, 10, 22, 12,occitanie
2020/12/10, 29, 9, 27, 8,occitanie
2020/12/11, 30, 9, 27, 3,occitanie
2020/12/12, 17, 12, 23, 7,occitanie
2020/12/13, 33, 9, 26, 4,occitanie
2020/12/14, 27, 18, 18, 15,occitanie
2020/12/15, 50, 11, 25, 7,occitanie
2020/12/16, 33, 37, 11, 17,occitanie
2020/12/17, 73, 20, 24, 10,occitanie
2020/12/18, 54, 23, 24, 12,occitanie
2020/12/19, 48, 23, 15, 12,occitanie
2020/12/20, 56, 17, 9, 14,occitanie
2020/12/21, 43, 13, 18, 10,occitanie
2020/12/22, 32, 12, 26, 6,occitanie
2020/12/23, 37, 8, 24, 3,occitanie
2020/12/24, 16, 6, 21, 1,occitanie
2020/12/25, 21, , , ,occitanie
2020/11/1, 61, 16, 25, 4,occitanie
2020/11/2, 58, 9, 26, 6,occitanie
2020/11/3, 26, 15, 24, 11,occitanie
2020/11/4, 34, 24, 23, 9,occitanie
2020/11/5, 55, 15, 29, 2,occitanie
2020/11/6, 39, 14, 28, ,occitanie
2020/11/7, 36, 16, 23, 2,occitanie
2020/11/8, 38, 13, 26, 8,occitanie
2020/11/9, 34, 20, 18, 12,occitanie
2020/11/10, 54, 15, 24, 5,occitanie
2020/11/11, 49, 17, 26, 9,occitanie
2020/11/12, 47, 14, 26, 4,occitanie
2020/11/13, 42, 15, 29, 2,occitanie
2020/11/14, 39, 18, 27, 1,occitanie
2020/11/15, 45, 18, 26, 9,occitanie
2020/11/16, 28, 24, 22, 13,occitanie
2020/11/17, 56, 13, 25, 6,occitanie
2020/11/18, 37, 18, 23, 10,occitanie
2020/11/19, 42, 18, 25, 9,occitanie
2020/11/20, 36, 25, 17, 11,occitanie
2020/11/21, 63, 33, 24, 12,occitanie
2020/11/22, 95, 38, 13, 16,occitanie
2020/11/23, 95, 31, 26, 9,occitanie
2020/11/24, 80, 21, 31, 7,occitanie
2020/11/25, 51, 10, 29, 5,occitanie
2020/11/26, 22, 11, 29, 2,occitanie
2020/11/27, 26, 11, 25, 7,occitanie
2020/11/28, 33, 20, 20, 12,occitanie
2020/11/29, 53, 35, 10, 16,occitanie
2020/11/30, 82, 21, 15, 8,occitanie
2020/10/1, 37, 5, 24, 5,occitanie
2020/10/2, 16, 4, 29, 2,occitanie
2020/10/3, 10, 4, 24, 2,occitanie
2020/10/4, 14, 7, 25, 4,occitanie
2020/10/5, 13, 7, 20, 7,occitanie
2020/10/6, 17, 12, 27, 6,occitanie
2020/10/7, 24, 14, 24, 10,occitanie
2020/10/8, 32, 18, 20, 9,occitanie
2020/10/9, 47, 9, 23, 3,occitanie
2020/10/10, 24, 9, 26, 2,occitanie
2020/10/11, 20, 7, 23, 5,occitanie
