date, pm25, pm10, o3, no2,region
2020/12/1, 53, 8, 15, 8,paca
2020/12/2, 21, 13, 17, 12,paca
2020/12/3, 32, 14, 27, 8,paca
2020/12/4, 25, 13, 12, 18,paca
2020/12/5, 40, 16, 12, 16,paca
2020/12/6, 49, 9, 15, 12,paca
2020/12/7, 23, 8, 14, 13,paca
2020/12/8, 25, 7, 22, 5,paca
2020/12/9, 18, 18, 18, 18,paca
2020/12/10, 51, 13, 11, 16,paca
2020/12/11, 41, 8, 9, 16,paca
2020/12/12, 26, 10, 20, 13,paca
2020/12/13, 30, 12, 23, 11,paca
2020/12/14, 33, 5, 24, 5,paca
2020/12/15, 14, 7, 21, 7,paca
2020/12/16, 20, 12, 20, 10,paca
2020/12/17, 34, 11, 24, 10,paca
2020/12/18, 33, 7, 23, 5,paca
2020/12/19, 23, 7, 18, 8,paca
2020/12/20, 23, 14, 12, 15,paca
2020/12/21, 45, 19, 6, 18,paca
2020/12/22, 58, 10, 25, 7,paca
2020/12/23, 34, 9, 19, 12,paca
2020/12/24, 26, 4, 22, 4,paca
2020/12/25, 9, , , ,paca
2020/11/1, 81, 24, 26, 11,paca
2020/11/2, 68, 18, 25, 13,paca
2020/11/3, 45, 24, 19, 18,paca
2020/11/4, 45, 17, 19, 15,paca
2020/11/5, 46, 17, 20, 11,paca
2020/11/6, 45, 15, 26, 5,paca
2020/11/7, 31, 8, 24, 1,paca
2020/11/8, 25, , 30, 4,paca
2020/11/13, 25, , , ,paca
2020/11/15, 48, 9, 26, 7,paca
2020/11/16, 23, 16, 16, 17,paca
2020/11/17, 35, 18, 14, 20,paca
2020/11/18, 47, 18, 29, 16,paca
2020/11/19, 41, 9, 27, 6,paca
2020/11/20, 19, 16, 13, 15,paca
2020/11/21, 41, 20, 21, 14,paca
2020/11/22, 56, 24, 20, 18,paca
2020/11/23, 65, 18, 26, 12,paca
2020/11/24, 53, 15, 30, 7,paca
2020/11/25, 38, 12, 28, 7,paca
2020/11/26, 36, 12, 28, 8,paca
2020/11/27, 38, 7, 30, 3,paca
2020/11/28, 17, 15, 24, 14,paca
2020/11/29, 44, 24, 6, 21,paca
2020/11/30, 63, 23, 19, 12,paca
2020/10/1, 38, 17, 33, 5,paca
2020/10/2, 43, 7, 28, 6,paca
2020/10/3, 13, 11, 29, 4,paca
2020/10/4, 21, 8, 22, 12,paca
2020/10/5, 14, 11, 17, 14,paca
2020/10/6, 22, 8, 23, 9,paca
2020/10/7, 16, 13, 18, 17,paca
2020/10/8, 21, 12, 23, 18,paca
2020/10/9, 29, 13, 22, 12,paca
2020/10/10, 34, 11, 29, 2,paca
2020/10/11, 14, 8, 24, 4,paca
2020/10/12, 12, 14, 22, 10,paca
2020/10/13, 24, 10, 20, 11,paca
2020/10/14, 21, 18, 18, 8,paca
2020/10/15, 30, 8, 12, 8,paca
2020/10/16, 14, 12, 15, 13,paca
2020/10/17, 34, 14, 16, 12,paca
2020/10/18, 43, 11, 30, 7,paca
2020/10/19, 30, 9, 34, 4,paca
2020/10/20, 20, 14, 37, 1,paca
2020/10/21, 19, 14, 35, 3,paca
2020/10/22, 29, 16, 34, 4,paca
2020/10/23, 38, 12, 22, 11,paca
2020/10/24, 29, 13, 32, 3,paca
2020/10/25, 27, 10, 27, 9,paca
2020/10/26, 21, 9, 21, 14,paca
2020/10/27, 16, 12, 20, 16,paca
2020/10/28, 27, 11, 22, 12,paca
2020/10/29, 18, 12, 17, 13,paca
2020/10/30, 26, 12, 28, 9,paca
2020/10/31, 40, 27, 27, 10,paca
2020/9/1, 14, 13, 40, 12,paca
2020/9/2, 22, 14, 46, 14,paca
2020/9/3, 27, 12, 43, 10,paca
2020/9/4, 24, 10, 16, 12,paca
