date,PM2.5,PM10,O3,NO2,region,filename,so2,co
2020/12/1, 31, 14, 14, 10,provence-alpes-cote d'azur,./alpes-cote-dazur-est.csv,,
2020/12/2, 30, 14, 17, 8,provence-alpes-cote d'azur,./alpes-cote-dazur-est.csv,,
2020/12/3, 29, 10, 19, 10,provence-alpes-cote d'azur,./alpes-cote-dazur-est.csv,,
2020/12/4, 21, 5, 22, 5,provence-alpes-cote d'azur,./alpes-cote-dazur-est.csv,,
2020/12/5, 8, 5, 19, 4,provence-alpes-cote d'azur,./alpes-cote-dazur-est.csv,,
2020/12/6, 20, 12, 21, 10,provence-alpes-cote d'azur,./alpes-cote-dazur-est.csv,,
2020/12/7, 25, 13, 19, 12,provence-alpes-cote d'azur,./alpes-cote-dazur-est.csv,,
2020/12/8, 26, 12, 13, 9,provence-alpes-cote d'azur,./alpes-cote-dazur-est.csv,,
2020/12/9, 22, 12, 11, 10,provence-alpes-cote d'azur,./alpes-cote-dazur-est.csv,,
2020/12/10, 20, 7, 16, 8,provence-alpes-cote d'azur,./alpes-cote-dazur-est.csv,,
2020/12/11, 11, 11, 15, 8,provence-alpes-cote d'azur,./alpes-cote-dazur-est.csv,,
2020/12/12, 27, 6, 15, 3,provence-alpes-cote d'azur,./alpes-cote-dazur-est.csv,,
2020/12/13, 13, 10, 17, 8,provence-alpes-cote d'azur,./alpes-cote-dazur-est.csv,,
2020/12/14, 18, 14, 8, 10,provence-alpes-cote d'azur,./alpes-cote-dazur-est.csv,,
2020/12/15, 27, 11, 16, 9,provence-alpes-cote d'azur,./alpes-cote-dazur-est.csv,,
2020/12/16, 23, 25, 8, 14,provence-alpes-cote d'azur,./alpes-cote-dazur-est.csv,,
2020/12/17, 36, 9, 9, 4,provence-alpes-cote d'azur,./alpes-cote-dazur-est.csv,,
2020/12/18, 20, , , ,provence-alpes-cote d'azur,./alpes-cote-dazur-est.csv,,
2020/12/21, 29, 15, 14, 7,provence-alpes-cote d'azur,./alpes-cote-dazur-est.csv,,
2020/12/22, 27, 14, 19, 6,provence-alpes-cote d'azur,./alpes-cote-dazur-est.csv,,
2020/12/23, 29, 15, 22, 5,provence-alpes-cote d'azur,./alpes-cote-dazur-est.csv,,
2020/12/24, 32, 4, 19, 1,provence-alpes-cote d'azur,./alpes-cote-dazur-est.csv,,
