date, pm25, pm10, o3, no2,region
2020/12/1, 76, 9, 9, 5,rhone
2020/12/2, 38, 12, 18, 6,rhone
2020/12/3, 44, 4, 19, 4,rhone
2020/12/4, 13, 11, 13, 7,rhone
2020/12/5, 40, 22, 5, 7,rhone
2020/12/6, 76, 12, 15, 7,rhone
2020/12/7, 43, 5, 13, 4,rhone
2020/12/8, 21, 15, 12, 6,rhone
2020/12/9, 56, 23, 8, 13,rhone
2020/12/10, 71, 7, 17, 5,rhone
2020/12/11, 26, 4, 13, 3,rhone
2020/12/12, 15, 11, 16, 6,rhone
2020/12/13, 38, 9, 20, 5,rhone
2020/12/14, 31, 6, 19, 6,rhone
2020/12/15, 22, 7, 17, 5,rhone
2020/12/16, 27, 14, 11, 9,rhone
2020/12/17, 51, 15, 10, 8,rhone
2020/12/18, 52, 12, 14, 5,rhone
2020/12/19, 43, 12, 12, 7,rhone
2020/12/20, 42, 7, 17, 7,rhone
2020/12/21, 26, 9, 11, 9,rhone
2020/12/22, 31, 6, 19, 3,rhone
2020/12/23, 20, 5, 18, 4,rhone
2020/12/24, 15, 2, 16, 1,rhone
2020/12/25, 9, , , ,rhone
2020/11/1, 56, 16, 19, 4,rhone
2020/11/2, 53, 9, 19, 5,rhone
2020/11/3, 28, 8, 16, 3,rhone
2020/11/4, 22, 13, 11, 5,rhone
2020/11/5, 41, 19, 14, 6,rhone
2020/11/6, 57, 15, 13, 3,rhone
2020/11/7, 51, 11, 16, 2,rhone
2020/11/8, 35, 16, 18, 5,rhone
2020/11/9, 45, 25, 12, 8,rhone
2020/11/10, 67, 19, 14, 4,rhone
2020/11/11, 61, 23, 14, 6,rhone
2020/11/12, 67, 12, 20, 3,rhone
2020/11/13, 39, 11, 23, 1,rhone
2020/11/14, 37, 10, 22, 1,rhone
2020/11/15, 27, 11, 17, 6,rhone
2020/11/16, 29, 14, 13, 7,rhone
2020/11/17, 43, 14, 21, 7,rhone
2020/11/18, 38, 11, 20, 6,rhone
2020/11/19, 34, 6, 20, 2,rhone
2020/11/20, 20, 17, 12, 4,rhone
2020/11/21, 59, 27, 5, 5,rhone
2020/11/22, 88, 47, 2, 12,rhone
2020/11/23, 130, 30, 19, 8,rhone
2020/11/24, 92, 16, 17, 5,rhone
2020/11/25, 55, 26, 14, 9,rhone
2020/11/26, 75, 23, 15, 7,rhone
2020/11/27, 68, 36, 5, 11,rhone
2020/11/28, 105, 29, 4, 10,rhone
2020/11/29, 89, 21, 8, 6,rhone
2020/11/30, 70, 25, 10, 11,rhone
2020/10/1, 43, 12, 22, 6,rhone
2020/10/2, 32, 4, 24, ,rhone
2020/10/3, 7, 3, 21, ,rhone
2020/10/4, 8, 4, 14, 1,rhone
2020/10/5, 9, 5, 16, 1,rhone
2020/10/6, 13, 8, 20, 4,rhone
2020/10/7, 19, 10, 17, 7,rhone
2020/10/8, 26, 16, 13, 8,rhone
2020/10/9, 39, 8, 18, 4,rhone
2020/10/10, 24, 5, 19, 1,rhone
2020/10/11, 15, 6, 21, 1,rhone
2020/10/12, 20, 12, 16, 4,rhone
2020/10/13, 34, 11, 15, 3,rhone
2020/10/14, 37, 7, 11, 1,rhone
2020/10/15, 26, 5, 9, 2,rhone
2020/10/16, 19, 10, 10, 2,rhone
2020/10/17, 38, 11, 20, 2,rhone
2020/10/18, 40, 16, 23, 5,rhone
2020/10/19, 47, 8, 27, ,rhone
2020/10/20, 16, 14, 32, 3,rhone
2020/10/21, 20, 29, 28, 4,rhone
2020/10/22, 45, 11, 17, 4,rhone
2020/10/23, 31, 7, 18, 5,rhone
2020/10/24, 25, 6, 23, 2,rhone
2020/10/25, 18, 4, 23, 4,rhone
2020/10/26, 9, 7, 20, 6,rhone
2020/10/27, 22, 6, 15, 4,rhone
2020/10/28, 15, 8, 17, 9,rhone
2020/10/29, 21, 12, 17, 10,rhone
2020/10/30, 38, 16, 11, 8,rhone
2020/10/31, 53, 17, 11, 4,rhone
2020/9/1, 13, , 32, 2,rhone
2020/9/2, 18, , 38, 4,rhone
2020/9/3, 21, , 14, 10,rhone
2020/9/4, 25, , 43, 1,rhone
2020/9/5, 20, , 29, ,rhone
2020/9/6, 14, 12, 31, 1,rhone
2020/9/7, 18, 13, 32, 3,rhone
2020/9/8, 23, 19, 41, 8,rhone
