date, pm25, pm10, o3, no2, so2, co
2020/12/1, 52, 25, 12, 19, , 
2020/12/2, 48, 13, 26, 11, , 
2020/12/3, 33, 13, 21, 23, , 
2020/12/4, 32, 11, 19, 13, , 
2020/12/5, 33, 7, 20, 5, , 
2020/12/6, 18, 16, 17, 14, , 
2020/12/7, 48, 21, 21, 22, , 
2020/12/8, 55, 40, 19, 24, , 
2020/12/9, 72, 15, 24, 19, , 
2020/12/10, 30, 12, 25, 12, , 
2020/12/11, 23, 16, 25, 16, , 
2020/12/12, 33, 9, 21, 5, , 
2020/12/13, 25, 11, 21, 11, , 
2020/12/14, 26, 15, 20, 15, , 
2020/12/15, 24, 11, 20, 10, , 
2020/12/16, 25, 15, 18, 14, , 
2020/12/17, 25, 15, 19, 12, , 
2020/12/18, 39, 15, 24, 6, , 
2020/12/19, 30, 13, 22, 9, , 
2020/12/20, 25, 6, 23, 5, , 
2020/12/21, 13, 8, 22, 6, , 
2020/12/22, 17, 12, 27, 5, , 
2020/12/23, 20, 7, 22, 7, , 
2020/12/24, 16, 8, 18, 4, , 
2020/12/25, 15, , , , , 
2020/11/1, 12, 13, 27, 11, , 
2020/11/2, 26, 21, 27, 19, , 
2020/11/3, 34, 7, 24, 11, , 
2020/11/4, 43, 12, 20, 6, , 
2020/11/5, 33, 15, 11, 9, , 
2020/11/6, 45, 15, 17, 12, , 
2020/11/7, 50, 14, 19, 8, , 
2020/11/8, 41, 8, 20, 9, , 
2020/11/9, 31, 18, 19, 19, , 
2020/11/10, 40, 10, 23, 6, , 
2020/11/11, 31, 21, 22, 16, , 
2020/11/12, 36, 10, 20, 9, , 
2020/11/13, 36, 13, 25, 5, , 
2020/11/14, 40, 14, 30, 2, , 
2020/11/15, 28, 19, 26, 13, , 
2020/11/16, 29, 21, 18, 17, , 
2020/11/17, 41, 18, 21, 11, , 
2020/11/18, 39, 19, 24, 18, , 
2020/11/19, 34, 32, 18, 23, , 
2020/11/20, 52, 30, 20, 18, , 
2020/11/21, 76, 25, 19, 12, , 
2020/11/22, 71, 40, 14, 19, , 
2020/11/23, 95, 29, 11, 19, , 
2020/11/24, 70, 32, 15, 17, , 
2020/11/25, 72, 29, 10, 13, , 
2020/11/26, 73, 32, 1, 13, , 
2020/11/27, 82, 22, 13, 10, , 
2020/11/28, 65, 19, 20, 6, , 
2020/11/29, 59, 32, 8, 11, , 
2020/11/30, 85, 20, 19, 12, , 
2020/10/1, 19, 11, 28, 10, , 
2020/10/2, 17, 4, 26, 11, , 
2020/10/3, 20, , 24, 5, , 
2020/10/4, 19, 17, 26, 9, , 
2020/10/5, 25, 17, 26, 10, , 
2020/10/6, 26, 23, 25, 11, , 
2020/10/7, 31, 8, 23, 7, , 
2020/10/8, 25, 7, 18, 15, , 
2020/10/9, 29, 10, 26, 13, , 
2020/10/10, 24, 7, 23, 12, , 
2020/10/11, 23, 11, 24, 12, , 
2020/10/12, 28, 12, 19, 18, , 
2020/10/13, 27, 9, 18, 7, , 
2020/10/14, 27, 14, 23, 7, , 
2020/10/15, 34, 15, 19, 13, , 
2020/10/16, 39, 21, 16, 10, , 
2020/10/17, 57, 21, 23, 13, , 
2020/10/18, 55, 18, 25, 16, , 
2020/10/19, 46, 20, 23, 7, 1, 
2020/10/20, 43, 13, 26, 9, , 
2020/10/21, 21, 21, 18, 21, , 
2020/10/22, 45, 21, 26, 15, , 
2020/10/23, 42, 10, 25, 3, , 
2020/10/24, 16, 8, 25, 5, , 
2020/10/25, 15, 12, 25, 16, , 
2020/10/26, 24, 9, 24, 7, , 
2020/10/27, 16, 18, 26, 7, , 
2020/10/28, 23, 16, 25, 9, , 
2020/10/29, 24, 15, 26, 11, , 
2020/10/30, 33, 13, 23, 5, , 
2020/10/31, 38, 5, 19, 1, , 
2020/9/1, 27, 7, 35, 15, , 
2020/9/2, 32, 20, 35, 19, , 
2020/9/3, 34, 19, 39, 24, , 
2020/9/4, 41, 9, 28, 4, , 
2020/9/5, 19, 10, 25, 10, , 
2020/9/6, 23, 8, 28, 14, , 
2020/9/7, 25, 6, 26, 10, , 
2020/9/8, 22, 6, 24, 7, , 
2020/9/9, 20, , 19, 6, , 
2020/9/10, 22, 19, 32, 15, , 
2020/9/11, 34, 17, 34, 6, , 
2020/9/12, 41, 15, 34, 9, , 
2020/9/13, 33, 24, 42, 14, , 
2020/9/14, 41, 37, 32, 24, , 
2020/9/15, 62, 25, 43, 7, , 
2020/9/16, 53, 35, 52, 8, , 
2020/9/17, 62, 31, 34, 17, , 
2020/9/18, 51, 12, 25, 9, , 
2020/9/19, 41, 12, 27, 12, , 
2020/9/20, 36, 27, 29, 18, 1, 
2020/9/21, 64, 26, 36, 16, , 
2020/9/22, 55, 10, 26, 10, , 
2020/9/23, 26, 9, 27, 9, , 
2020/9/24, 19, 11, 26, 14, , 
2020/9/25, 20, 11, 25, 11, , 
2020/9/26, 20, 8, 26, 9, , 
2020/9/27, 21, 12, 24, 18, , 
2020/9/28, 26, 15, 22, 12, , 
2020/9/29, 32, 13, 25, 6, , 
2020/9/30, 21, 10, 28, 10, , 
2020/8/1, 21, 8, 24, 8, , 
2020/8/2, 17, 11, 27, 14, , 
2020/8/3, 23, 12, 33, 11, , 
2020/8/4, 23, 14, 27, 17, , 
2020/8/5, 29, 13, 46, 15, , 
2020/8/6, 27, 21, 56, 29, 4, 
2020/8/7, 46, 24, 47, 17, , 
2020/8/8, 59, 16, 50, 10, , 
2020/8/9, 45, 20, 41, 13, 2, 
2020/8/10, 61, 20, 31, 17, 1, 
2020/8/11, 57, 11, 27, 15, , 
2020/8/12, 44, 9, 27, 14, , 
2020/8/13, 39, 5, 22, 10, , 
2020/8/14, 23, 5, 33, 7, , 
2020/8/15, 25, 3, 23, 6, , 
2020/8/16, 18, 5, 24, 8, , 
2020/8/17, 14, 15, 19, 10, , 
2020/8/18, 24, 10, 14, 9, , 
2020/8/19, 23, 13, 22, 10, , 
2020/8/20, 25, 22, 25, 5, , 
2020/8/21, 28, 14, 26, 6, , 
2020/8/22, 24, 10, 26, 7, , 
2020/8/23, 21, 15, 26, 12, , 
2020/8/24, 20, 12, 23, 7, , 
2020/8/25, 19, 20, 25, 13, , 
2020/8/26, 31, 16, 18, 9, , 
2020/8/27, 24, 12, 24, 9, , 
2020/8/28, 21, 6, 24, 6, , 
2020/8/29, 16, 3, 22, 7, , 
2020/8/30, 17, 4, 30, 12, , 
2020/8/31, 23, 5, 32, 10, , 
2020/7/1, 25, 19, 23, 14, , 
2020/7/2, 26, 21, 24, 13, , 
2020/7/3, 30, 9, 21, 4, , 
2020/7/4, 15, 4, 13, 2, , 
2020/7/5, 10, 14, 24, 10, , 
2020/7/6, 30, 14, 30, 10, , 
2020/7/7, 26, 19, 29, 23, , 
2020/7/8, 41, 25, 14, 12, , 
2020/7/9, 33, 6, 31, 6, , 
2020/7/10, 19, 10, 33, 3, , 
2020/7/11, 17, 9, 37, 2, , 
2020/7/12, 19, 14, 42, 10, , 
2020/7/13, 30, 10, 32, 6, , 
2020/7/14, 25, 14, 26, 13, , 
2020/7/15, 27, 11, 23, 8, , 
2020/7/16, 25, 11, 27, 6, , 
2020/7/17, 27, 12, 27, 7, , 
2020/7/18, 34, 16, 30, 11, , 
2020/7/19, 38, 12, 31, 3, 1, 
2020/7/20, 23, 21, 39, 5, 1, 
2020/7/21, 32, 16, 45, 7, , 
2020/7/22, 32, 10, 57, 23, , 
2020/7/23, 40, 16, 28, 12, , 
2020/7/24, 27, 9, 16, 4, , 
2020/7/25, 19, 8, 19, 5, , 
2020/7/26, 19, 18, 17, 6, , 
2020/7/27, 22, 14, 24, 12, , 
2020/7/28, 27, 14, 29, 8, , 
2020/7/29, 23, 22, 43, 12, , 
2020/7/30, 33, 24, 25, 11, , 
2020/7/31, 46, 8, 20, 10, , 
2020/6/1, 29, 17, 51, 9, , 
2020/6/2, 40, 20, 54, 13, , 
2020/6/3, 44, 13, 33, 7, , 
2020/6/4, 32, 15, 26, 8, , 
2020/6/5, 19, 10, 70, 9, , 
2020/6/6, 21, 10, , 9, , 
2020/6/7, 22, 8, , 5, , 
2020/6/8, 21, 12, , 5, , 
2020/6/9, 27, 21, 31, 14, , 
2020/6/10, 40, 9, 22, 11, , 
2020/6/11, 30, 10, 25, 8, , 
2020/6/12, 20, 8, 29, 6, , 
2020/6/13, 17, 8, 26, 3, , 
2020/6/14, 17, 10, 28, 5, , 
2020/6/15, 22, 9, 29, 8, , 
2020/6/16, 19, 12, 27, 17, , 
2020/6/17, 29, 16, 27, 10, , 
2020/6/18, 24, 14, 25, 13, , 
2020/6/19, 24, 11, 23, 9, , 
2020/6/20, 26, 11, 25, 5, , 
2020/6/21, 24, 18, 31, 9, , 
2020/6/22, 35, 16, 37, 8, , 
2020/6/23, 35, 21, 45, 11, , 
2020/6/24, 42, 36, 47, 20, 1, 
2020/6/25, 55, 25, 37, 11, , 
2020/6/26, 46, 7, 23, 3, , 
2020/6/27, 15, 7, 22, 4, , 
2020/6/28, 12, 24, 25, 12, , 
2020/6/29, 25, 14, 20, 6, , 
2020/6/30, 17, 35, 21, 6, , 
2020/5/1, 19, 4, 26, 3, , 
2020/5/2, 9, 1, 20, 1, , 
2020/5/3, 7, 5, 20, 2, , 
2020/5/4, 13, 12, 36, 8, , 
2020/5/5, 28, 9, 30, 3, , 
2020/5/6, 30, 12, 46, 5, , 
2020/5/7, 38, 12, 32, 3, , 
2020/5/8, 45, 13, 33, 7, , 
2020/5/9, 44, 6, 32, 3, , 
2020/5/10, 21, 16, 31, 2, , 
2020/5/11, 36, 17, 32, 3, , 
2020/5/12, 25, 16, 39, 3, , 
2020/5/13, 33, 16, 38, 3, , 
2020/5/14, 29, 16, 40, 3, , 
2020/5/15, 34, 12, 43, 3, , 
2020/5/16, 30, 10, 40, 4, , 
2020/5/17, 30, 12, 40, 10, , 
2020/5/18, 27, 10, 43, 6, , 
2020/5/19, 21, 13, 43, 9, , 
2020/5/20, 32, 17, 48, 8, , 
2020/5/21, 45, 16, 44, 6, , 
2020/5/22, 32, 16, 32, 8, , 
2020/5/23, 27, 12, 31, 4, , 
2020/5/24, 24, 12, 36, 4, , 
2020/5/25, 28, 18, 44, 5, , 
2020/5/26, 34, 17, 49, 5, , 
2020/5/27, 37, 17, 48, 5, , 
2020/5/28, 36, 15, 44, 5, , 
2020/5/29, 29, 13, 46, 4, , 
2020/5/30, 30, 11, 39, 2, , 
2020/5/31, 28, 10, 43, 3, , 
2020/4/1, 56, 19, 37, 3, , 
2020/4/2, 55, 14, 34, 9, 2, 
2020/4/3, 35, 15, 35, 5, 3, 
2020/4/4, 43, 11, 36, 2, 4, 
2020/4/5, 29, 10, 35, 5, 2, 
2020/4/6, 25, 15, 34, 4, 2, 
2020/4/7, 45, 20, 42, 10, 2, 
2020/4/8, 56, 15, 43, 7, 1, 
2020/4/9, 48, 17, 44, 9, , 
2020/4/10, 49, 18, 43, 8, , 
2020/4/11, 48, 15, 40, 3, , 
2020/4/12, 48, 13, 38, 1, , 
2020/4/13, 43, 16, 35, 2, , 
2020/4/14, 29, 14, 37, 4, , 
2020/4/15, 35, 13, 33, 5, , 
2020/4/16, 32, 11, 32, 4, , 
2020/4/17, 28, 9, 37, 5, , 
2020/4/18, 24, 14, 24, 1, , 
2020/4/19, 50, 29, 20, 3, , 
2020/4/20, 77, 22, 30, 5, , 
2020/4/21, 56, 25, 42, 6, , 
2020/4/22, 59, 28, 42, 5, , 
2020/4/23, 66, 26, 40, 9, , 
2020/4/24, 62, 27, 37, 2, , 
2020/4/25, 72, 25, 38, 3, , 
2020/4/26, 67, 20, 30, 9, , 
