date, pm25, pm10, o3, no2,region
2020/12/1, 56, 16, 7, 8,bourgogne
2020/12/2, 51, 9, 28, 5,bourgogne
2020/12/3, 34, 4, 29, 7,bourgogne
2020/12/4, 17, 9, 19, 10,bourgogne
2020/12/5, 41, 17, 1, 10,bourgogne
2020/12/6, 63, 13, 14, 8,bourgogne
2020/12/7, 48, 11, 13, 9,bourgogne
2020/12/8, 42, 13, 13, 8,bourgogne
2020/12/9, 50, 17, 9, 12,bourgogne
2020/12/10, 59, 9, 24, 6,bourgogne
2020/12/11, 32, 7, 23, 4,bourgogne
2020/12/12, 26, 13, 21, 6,bourgogne
2020/12/13, 40, 21, 2, 14,bourgogne
2020/12/14, 58, 9, 19, 11,bourgogne
2020/12/15, 34, 10, 14, 10,bourgogne
2020/12/16, 30, 15, 24, 11,bourgogne
2020/12/17, 40, 17, 18, 11,bourgogne
2020/12/18, 51, 10, 25, 6,bourgogne
2020/12/19, 34, 7, 22, 5,bourgogne
2020/12/20, 26, 8, 24, 7,bourgogne
2020/12/21, 28, 4, 21, 3,bourgogne
2020/12/22, 14, 6, 26, 5,bourgogne
2020/12/23, 18, 5, 28, 2,bourgogne
2020/12/24, 12, 5, 20, 2,bourgogne
2020/12/25, 15, , , ,bourgogne
2020/11/1, 21, 10, 19, 4,bourgogne
2020/11/2, 25, 6, 25, 5,bourgogne
2020/11/3, 19, 11, 19, 5,bourgogne
2020/11/4, 20, 15, 13, 5,bourgogne
2020/11/5, 40, 15, 10, 8,bourgogne
2020/11/6, 44, 26, 3, 9,bourgogne
2020/11/7, 69, 18, 26, 6,bourgogne
2020/11/8, 44, 22, 14, 10,bourgogne
2020/11/9, 49, 27, 15, 9,bourgogne
2020/11/10, 62, 19, 12, 5,bourgogne
2020/11/11, 59, 20, 20, 8,bourgogne
2020/11/12, 48, 15, 23, 10,bourgogne
2020/11/13, 40, 13, 29, 5,bourgogne
2020/11/14, 37, 11, 32, ,bourgogne
2020/11/15, 21, 10, 29, ,bourgogne
2020/11/16, 20, 17, 15, 13,bourgogne
