date, pm25, pm10, o3, no2,region
2018/10/1, 30, 27, 35, 2,corse
2018/10/2, 16, 14, 40, 4,corse
2018/10/3, 15, 16, 37, 10,corse
2018/10/4, 20, 16, 33, 9,corse
2018/10/5, 24, 18, 33, 8,corse
2018/10/6, 25, 13, 35, 4,corse
2018/10/7, 27, 11, 26, 4,corse
2018/10/8, 27, 20, 33, 13,corse
2018/10/9, 32, 14, 30, 7,corse
2018/10/10, 31, , 33, ,corse
2018/10/11, 21, , 30, ,corse
2018/10/12, 44, , 29, ,corse
2018/10/13, 57, , , ,corse
2018/10/16, 56, 16, 28, 14,corse
2018/10/17, 21, 17, 28, 11,corse
2018/10/18, 32, 26, 29, 11,corse
2018/10/19, 52, 29, 35, 11,corse
2018/10/20, 56, 30, 42, 9,corse
2018/10/21, 61, 17, 33, 5,corse
2018/10/22, 18, 22, 34, 10,corse
2018/10/23, 41, 18, 33, 16,corse
2018/10/24, 29, 21, 35, 12,corse
2018/10/25, 40, 23, 30, 9,corse
2018/10/26, 36, 22, 30, 9,corse
2018/10/27, 40, 25, 31, 5,corse
2018/10/28, 35, 31, 30, 5,corse
2018/10/29, 47, 12, 24, 12,corse
2018/10/30, 8, 23, 35, 8,corse
2018/10/31, 21, 36, 32, 5,corse
2018/11/1, 53, 36, 26, 10,corse
2018/11/2, 31, 15, 25, 8,corse
2018/11/3, 18, 21, 36, 8,corse
2018/11/4, 22, 21, 31, 12,corse
2018/11/5, 15, 18, 32, 8,corse
2018/11/6, 35, 11, 31, 11,corse
2018/11/7, 5, 16, 28, 11,corse
2018/11/8, 12, 19, 30, 11,corse
2018/11/9, 17, 14, 29, 9,corse
2018/11/10, 20, 16, 28, 8,corse
2018/11/11, 20, 19, 29, 11,corse
2018/11/12, 27, 22, 23, 14,corse
2018/11/13, 35, 26, 22, 14,corse
2018/11/14, 40, 19, 24, 8,corse
2018/11/15, 46, 17, 26, 6,corse
2018/11/16, 30, 16, 28, 3,corse
2018/11/17, 28, 20, 26, 2,corse
2018/11/18, 40, 20, 24, 10,corse
2018/11/19, 43, 14, 22, 8,corse
2018/11/20, 11, 13, 16, 11,corse
2018/11/21, 18, , , ,corse
2018/11/27, 9, 16, 19, 10,corse
2018/11/28, 20, 15, 26, 11,corse
2018/11/29, 21, 17, 25, 14,corse
2018/11/30, 32, 13, 24, 8,corse
2018/12/1, 27, 15, 25, 8,corse
2018/12/2, 24, 14, , 10,corse
2018/12/3, 20, 14, 27, 4,corse
2018/12/4, 19, 19, 21, 13,corse
2018/12/5, 27, 22, 25, 9,corse
2018/12/6, 31, 54, 22, 11,corse
2018/12/7, 33, 20, 30, 1,corse
2018/12/8, 21, 21, 33, ,corse
2018/12/9, 20, 16, 29, 2,corse
2018/12/10, 11, 11, 25, 13,corse
2018/12/11, 12, 11, 24, 13,corse
2018/12/12, 32, 10, 24, 10,corse
2018/12/13, 30, 7, 20, 8,corse
2018/12/14, 16, 13, 21, 5,corse
2018/12/15, 41, 11, 22, 8,corse
2018/12/16, 31, 6, 24, 7,corse
2018/12/17, 10, 10, 23, 14,corse
2018/12/18, 23, 14, 23, 15,corse
2018/12/19, 25, 13, 29, 5,corse
2018/12/20, 27, 11, 29, 5,corse
2018/12/21, 29, 10, 29, 8,corse
2018/12/22, 16, 17, 23, 6,corse
2018/12/23, 36, 15, 23, 6,corse
2018/12/24, 26, 10, 20, 5,corse
2018/12/25, 18, 9, 16, 11,corse
2018/8/22, 53, 18, 50, ,corse
2018/8/23, 53, 31, 49, ,corse
2018/8/24, 54, 14, 45, 10,corse
2018/8/25, 50, 21, 40, 8,corse
2018/8/26, 16, 18, 37, 1,corse
2018/8/27, 10, 9, 42, 5,corse
2018/8/28, 18, 11, 44, 9,corse
2018/8/29, 24, 13, 44, 12,corse
2018/8/30, 29, 14, 38, 9,corse
2018/8/31, 43, 19, 43, 9,corse
2018/9/1, 29, 18, 43, 5,corse
2018/9/2, 15, 9, 43, 2,corse
2018/9/3, 22, 9, 41, 7,corse
2018/9/4, 20, 13, 41, 12,corse
2018/9/5, 27, 14, 34, 7,corse
2018/9/6, 29, 14, 44, 9,corse
2018/9/7, 36, 16, 43, 8,corse
2018/9/8, 38, 17, 41, 9,corse
2018/9/9, 42, 16, 38, 9,corse
2018/9/10, 41, 19, 38, 16,corse
2018/9/11, 35, 14, 38, 16,corse
2018/9/12, 34, 15, 39, 18,corse
2018/9/13, 35, 18, 34, 10,corse
2018/9/14, 41, 22, 36, 12,corse
2018/9/15, 40, 20, 41, 6,corse
2018/9/16, 46, 20, 32, 4,corse
2018/9/17, 40, 17, 32, 10,corse
2018/9/18, 29, 17, 27, 11,corse
2018/9/19, 33, 19, 41, 12,corse
2018/9/20, 45, 23, 45, 10,corse
2018/9/21, 41, 26, 37, 19,corse
2018/9/27, 18, 13, 37, 10,corse
