date, pm25, pm10, o3, no2,region
2020/6/1, 36, 21, 54, 6,grand-est
2020/6/2, 50, 21, 46, 7,grand-est
2020/6/3, 64, 10, 35, 3,grand-est
2020/5/1, 15, 9, 31, 3,grand-est
2020/5/2, 22, 13, 38, 4,grand-est
2020/5/3, 34, 12, 28, 7,grand-est
2020/5/4, 33, 18, 30, 5,grand-est
2020/5/5, 43, 18, 39, 5,grand-est
2020/5/6, 29, 15, 48, 8,grand-est
2020/5/7, 41, , 55, 7,grand-est
2020/5/8, 51, , 42, 8,grand-est
2020/5/9, 56, , 36, 5,grand-est
2020/5/10, 60, 6, 27, 3,grand-est
2020/5/11, 28, 13, 28, 5,grand-est
2020/5/12, 32, 17, 19, 7,grand-est
2020/5/13, 48, 21, 31, 5,grand-est
2020/5/14, 60, 17, 40, 5,grand-est
2020/5/15, 50, 17, 47, 7,grand-est
2020/5/16, 5, 19, 49, 7,grand-est
2020/5/17, 5, 18, 43, 7,grand-est
2020/5/18, 42, 18, 50, 11,grand-est
2020/5/19, 45, 18, 47, 4,grand-est
2020/5/20, 46, 17, 49, 4,grand-est
2020/5/21, 50, 20, 47, 7,grand-est
2020/5/22, 56, 11, 26, 3,grand-est
2020/5/23, 28, 11, 30, 2,grand-est
2020/5/24, 27, 13, 29, 5,grand-est
2020/5/25, 33, 16, 41, 5,grand-est
2020/5/26, 40, 13, 42, 4,grand-est
2020/5/27, 36, 19, 43, 7,grand-est
2020/5/28, 48, 13, 41, 3,grand-est
2020/5/29, 30, 13, 39, 2,grand-est
2020/5/30, 36, 11, 38, 1,grand-est
2020/5/31, 31, 13, 45, 2,grand-est
2020/4/1, 50, 25, 36, 8,grand-est
2020/4/2, 61, 21, 31, 6,grand-est
2020/4/3, 55, 20, 35, 5,grand-est
2020/4/4, 51, 21, 40, 4,grand-est
2020/4/5, 11, 21, 45, 7,grand-est
2020/4/6, 23, 24, 49, 8,grand-est
2020/4/7, 55, 20, 48, 7,grand-est
2020/4/8, 57, 24, 52, 8,grand-est
2020/4/9, 63, 27, 49, 5,grand-est
2020/4/10, 63, 15, 41, 4,grand-est
2020/4/11, 35, 18, 42, 4,grand-est
2020/4/12, 48, 19, 35, 4,grand-est
2020/4/13, 49, 17, 34, 3,grand-est
2020/4/14, 28, 19, 32, 7,grand-est
2020/4/15, 38, 24, 43, 8,grand-est
2020/4/16, 51, 29, 44, 8,grand-est
2020/4/17, 54, 25, 34, 5,grand-est
2020/4/18, 48, 19, 39, 3,grand-est
2020/4/19, 47, 26, 39, 2,grand-est
2020/4/20, 44, 23, 42, 2,grand-est
2020/4/21, 38, 22, 43, 3,grand-est
2020/4/22, 38, 22, 49, 4,grand-est
2020/4/23, 45, 23, 49, 5,grand-est
2020/4/24, 52, 20, 42, 3,grand-est
2020/4/25, 51, 17, 40, 3,grand-est
2020/4/26, 39, 16, 40, 4,grand-est
2020/4/27, 43, 11, 32, 2,grand-est
2020/4/28, 30, 8, 29, 3,grand-est
2020/4/29, 20, 8, 26, 3,grand-est
2020/4/30, 16, 9, 29, 2,grand-est
2020/3/1, 12, 9, 24, 14,grand-est
2020/3/2, 26, 9, 23, 10,grand-est
2020/3/3, 17, 14, 23, 13,grand-est
2020/3/4, 35, 12, 23, 13,grand-est
2020/3/5, 32, 5, 24, 7,grand-est
2020/3/6, 16, 15, 27, 8,grand-est
2020/3/7, 37, 15, 30, 7,grand-est
