date, pm25, pm10, o3, no2,region
2020/12/1, 40, 19, 18, 13,paris-sud
2020/12/2, 42, 12, 22, 10,paris-sud
2020/12/3, 36, 6, 24, 7,paris-sud
2020/12/4, 26, 8, 20, 4,paris-sud
2020/12/5, 31, 14, 13, 7,paris-sud
2020/12/6, 44, 29, 5, 13,paris-sud
2020/12/7, 83, 20, 4, 11,paris-sud
2020/12/8, 64, 35, 10, 13,paris-sud
2020/12/9, 72, 15, 13, 7,paris-sud
2020/12/10, 13, 10, 13, 14,paris-sud
2020/12/11, 26, 12, 11, 12,paris-sud
2020/12/12, 36, 11, 18, 7,paris-sud
2020/12/13, 34, 9, 17, 10,paris-sud
2020/12/14, 33, 12, 10, 16,paris-sud
2020/12/15, 36, 12, 12, 9,paris-sud
2020/12/16, 46, 15, 12, 15,paris-sud
2020/12/17, 42, 14, 13, 10,paris-sud
2020/12/18, 44, 10, 14, 6,paris-sud
2020/12/19, 41, 14, 18, 8,paris-sud
2020/12/20, 41, 7, 17, 7,paris-sud
2020/12/21, 29, 4, 19, 7,paris-sud
2020/12/22, 21, 7, 25, 7,paris-sud
2020/12/23, 28, 6, 24, 7,paris-sud
2020/12/24, 25, 4, 19, 6,paris-sud
2020/12/25, 28, , , ,paris-sud
2020/11/1, 22, 7, 22, 5,paris-sud
2020/11/2, 27, 13, 20, 12,paris-sud
2020/11/3, 33, 20, 18, 14,paris-sud
2020/11/4, 45, 21, 17, 9,paris-sud
2020/11/5, 55, 27, 9, 10,paris-sud
2020/11/6, 61, 26, 11, 9,paris-sud
2020/11/7, 71, 16, 15, 8,paris-sud
2020/11/8, 48, 20, 12, 13,paris-sud
2020/11/9, 56, 23, 4, 16,paris-sud
2020/11/10, 49, 15, 13, 6,paris-sud
2020/11/11, 50, 16, 18, 13,paris-sud
2020/11/12, 41, 14, 11, 10,paris-sud
2020/11/13, 51, 14, 20, 5,paris-sud
2020/11/14, 47, 11, 26, 2,paris-sud
2020/11/15, 37, 15, 25, 9,paris-sud
2020/11/16, 39, 15, 18, 12,paris-sud
2020/11/17, 40, 15, 12, 11,paris-sud
2020/11/18, 44, 11, 21, 9,paris-sud
2020/11/19, 36, 18, 11, 18,paris-sud
2020/11/20, 51, 24, 14, 15,paris-sud
2020/11/21, 57, 28, 10, 18,paris-sud
2020/11/22, 76, 29, 2, 21,paris-sud
2020/11/23, 73, 26, 11, 12,paris-sud
2020/11/24, 64, 33, 9, 14,paris-sud
2020/11/25, 80, 43, 5, 16,paris-sud
2020/11/26, 106, 43, 3, 12,paris-sud
2020/11/27, 105, 33, 5, 10,paris-sud
2020/11/28, 87, 21, 9, 8,paris-sud
